"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"AreaFormacao";"Produtividade"
"52";"SP";2001;NA;195,272043010753;112,057037037037;936,692097075;27,7098973834586;17,2280458455285;"2001";223470;34220;15,7515550185707
"53";"TO";2001;NA;194,636111111111;136,061111111111;977,491002237288;32,949056;21,2234228472222;NA;NA;NA;NA
"54";"AC";2002;NA;143,831428571429;179,25;990,687668083333;31,4332405294118;21,7556480555556;NA;NA;NA;NA
"55";"AL";2002;NA;205,640740740741;106,183333333333;974,167315866667;29,9777568813559;20,6910588135593;NA;NA;NA;NA
"56";"AM";2002;NA;154,549382716049;233,055952380952;999,627568541667;32,807427369697;22,9729667590361;NA;NA;NA;NA
"57";"AP";2002;NA;209,658333333333;207,341666666667;NA;32,0711585833333;23,7476055833333;NA;NA;NA;NA
"58";"BA";2002;NA;217,888990825688;74,697619047619;961,103020520408;30,3020885179641;19,7215529667674;"2002";103000;10100;22,3300970873786
"59";"CE";2002;NA;243,750980392157;79,4607142857143;966,499824360465;31,9662239076923;21,9194826461538;NA;NA;NA;NA
"60";"DF";2002;NA;219,041666666667;106,016666666667;890,434291041667;27,6481805416667;16,4179842916667;NA;NA;NA;NA
"61";"ES";2002;NA;190;107,125;1011,54932333333;29,8150668333333;21,537926625;"2002";529000;60500;17,6275992438563
"62";"GO";2002;NA;217,795145631068;106,468939393939;934,095739369369;31,2225658484848;19,0303167461538;"2002";0;0;0
"63";"MA";2002;NA;215,244927536232;131,29375;992,09417616092;33,091717125;22,8348634965035;NA;NA;NA;NA
"64";"MG";2002;NA;212,878587196468;97,7802867383513;933,69084319;29,660386410609;17,4570348120155;"2002";1070000;142000;23,4953271028037
"65";"MS";2002;NA;218,595454545455;75,8214285714286;966,473223673913;31,5088480754717;19,8384234285714;NA;NA;NA;NA
"66";"MT";2002;NA;207,682857142857;113,576515151515;983,263034072917;33,4869529612403;20,13303765625;"2002";36900;4300;13,2791327913279
"67";"PA";2002;NA;199,372289156626;175,982142857143;998,151388164179;32,4724153293413;23,2826611437126;"2002";19500;3300;15,8974358974359
"68";"PB";2002;NA;237,546666666667;95,3277777777778;966,448406333333;30,5911339444444;21,2739056111111;NA;NA;NA;NA
"69";"PE";2002;NA;225,901123595506;78,4635416666667;948,837392714286;29,7699791182796;20,1758299263158;NA;NA;NA;NA
"70";"PI";2002;NA;261,225454545455;61,82;981,296457616279;34,174120328;22,0798122177419;NA;NA;NA;NA
"71";"PR";2002;NA;173,323958333333;135,836458333333;931,269850202381;26,9461824479167;15,9774641684211;"2002";128000;9800;18,28125
"72";"RJ";2002;NA;197,057894736842;86,6826923076923;970,100267724138;29,22648565625;18,928658421875;"2002";12480;1010;20,4326923076923
"73";"RN";2002;NA;245,774647887324;84,2785714285714;990,05829484;32,36865325;22,810666037037;NA;NA;NA;NA
"74";"RO";2002;NA;NA;NA;NA;NA;NA;"2002";165000;26000;12,7272727272727
"75";"RR";2002;NA;181,588235294118;151,654166666667;NA;33,8185754583333;23,558766375;NA;NA;NA;NA
"76";"RS";2002;NA;165,759134615385;190,475462962963;959,660850515385;23,9721403033175;14,6161378199052;NA;NA;NA;NA
"77";"SC";2002;NA;151,411111111111;156,645238095238;906,366352020833;24,5540466829268;14,8914738292683;NA;NA;NA;NA
"78";"SE";2002;NA;201,519444444444;85,9888888888889;994,977082466667;30,2046052121212;21,989733;NA;NA;NA;NA
"79";"SP";2002;NA;199,256481481481;113,177777777778;937,2288511;28,594079027972;17,3288615467626;"2002";225000;29100;25,7777777777778
"80";"TO";2002;NA;212,592647058824;134,218055555556;977,540419602941;33,2022728181818;21,5121861527778;NA;NA;NA;NA
"81";"AC";2003;116,596794541667;143,091666666667;176,036111111111;990,142593166667;31,5824538055556;21,4601189444444;NA;NA;NA;NA
"82";"AL";2003;86,2915033559322;220,661403508772;70,7396551724138;969,857967583333;30,775533;21,2597769122807;NA;NA;NA;NA
"83";"AM";2003;136,765992763636;157,201290322581;208,234545454545;1002,19365316667;32,8894181779141;23,2084337625;NA;NA;NA;NA
"84";"AP";2003;136,087637;214,3;160,108333333333;1011,00390666667;32,0579475;23,8107079166667;NA;NA;NA;NA
"85";"BA";2003;76,3049576428571;219,302605863192;58,5421052631579;961,246393628159;30,63119169279;19,8674617619048;"2003";95200;2800;18,6974789915966
"86";"CE";2003;94,6029469255319;238,268571428571;92,0163120567376;968,026697877778;32,4395444071429;22,0586055142857;NA;NA;NA;NA
"87";"DF";2003;78,9530362857143;204,3625;99,2625;890,748838625;27,2905829166667;16,0239017083333;NA;NA;NA;NA
"88";"ES";2003;72,73987175;197,586956521739;87,8625;1013,09;30,1041605416667;21,3170280416667;"2003";521000;29900;12,6871401151631
"89";"GO";2003;75,2124330941176;208,7;120,795454545455;933,968476183333;30,6239888333333;18,5304708244275;"2003";0;0;0
"90";"MA";2003;110,389901589474;214,3875;130,452083333333;991,354097826087;33,1078379791667;22,8894817202797;NA;NA;NA;NA
"91";"MG";2003;70,7574803318486;208,789452332657;95,8365079365079;933,593994329049;29,56443760746;16,9696414251825;"2003";977000;116000;12,3336745138178
"92";"MS";2003;92,2921922857143;208,868965517241;125,657446808511;967,025999536585;30,3477906153846;19,0679318863636;NA;NA;NA;NA
"93";"MT";2003;92,3898355679012;187,957608695652;149,733333333333;984,076006058824;32,6506335267857;20,2009141465517;"2003";36100;3200;11,9113573407202
"94";"PA";2003;127,740185209091;194,393209876543;176,593529411765;998,234605587302;32,3671850710059;23,3848913293413;"2003";18000;2000;12,2222222222222
"95";"PB";2003;96,5324178085106;233,426086956522;84,9125;965,822454693548;30,9633701408451;20,960969943662;NA;NA;NA;NA
"96";"PE";2003;74,4745255;239,061290322581;60,8147368421053;951,455935880952;30,360377688172;20,5050693010753;NA;NA;NA;NA
"97";"PI";2003;89,0224949724771;249,985256410256;82,9224358974359;980,847726870588;34,180157801282;22,1860741538462;NA;NA;NA;NA
"98";"PR";2003;84,704234984127;185,138043478261;133,239784946237;932,949861703704;26,5221033295455;15,0808587934783;"2003";123200;10400;15,9902597402597
"99";"RJ";2003;80,8209639574468;185,936170212766;105,054166666667;968,622258551724;28,9493069305556;18,5039357916667;"2003";11000;1000;11,8181818181818
"100";"RN";2003;96,7162977118644;249,153012048193;66,325;991,078030057692;32,9035659277108;23,1489768554217;NA;NA;NA;NA
"101";"RO";2003;NA;NA;NA;NA;NA;NA;"2003";188000;18000;13,2978723404255
"102";"RR";2003;116,960464375;190,463636363636;156,673913043478;NA;33,9513070434783;23,030242;NA;NA;NA;NA
"103";"RS";2003;74,7100622647059;190,433177570093;146,585648148148;960,106773832061;23,970137337963;13,7368228472222;NA;NA;NA;NA
"104";"SC";2003;78,258384625;175,563855421687;126,627710843373;911,08926384;24,1985389518072;13,9798466962025;NA;NA;NA;NA
"105";"SE";2003;108,719144333333;214,405555555556;92,5361111111111;997,145592411765;30,3047383611111;22,4727176666667;NA;NA;NA;NA
"106";"SP";2003;75,9794678470588;198,178571428571;106,50071942446;929,933858621622;27,7690478188406;17,0172522204724;"2003";210000;21000;13,3809523809524
"107";"TO";2003;94,4114559545455;199,174242424242;127,584722222222;978,037133222222;33,1640109;21,5060048676471;NA;NA;NA;NA
"108";"AC";2004;NA;129,094285714286;193,619444444444;989,971067625;31,1478021111111;21,6754881111111;NA;NA;NA;NA
"109";"AL";2004;90,78535725;209,356140350877;116,825862068966;974,906392655172;30,1638966842105;21,0016;NA;NA;NA;NA
"110";"AM";2004;NA;149,389285714286;191,475163398693;999,978961;32,7554435410959;22,956698972028;NA;NA;NA;NA
"111";"AP";2004;NA;217,683333333333;225,108333333333;1009,43666666667;31,9466689166667;23,8583738333333;NA;NA;NA;NA
"112";"BA";2004;NA;203,84501607717;80,2297619047619;961,042956351724;29,9063275348101;19,4281731322581;"2004";96710;2155;23,5652983145486
"113";"CE";2004;NA;227,233571428571;103,265957446809;968,486234554348;31,9187835571429;21,8689068928571;NA;NA;NA;NA
"114";"DF";2004;NA;194,870833333333;129,070833333333;890,38339375;26,910445875;16,0187520833333;NA;NA;NA;NA
"115";"ES";2004;NA;173,509090909091;142,283333333333;1011,40580666667;29,11950125;20,9838408333333;"2004";507786;19455;13,3816213916886
"116";"GO";2004;NA;205,688495575221;135,094696969697;933,362836541667;30,3088081679389;18,4799062651515;"2004";0;0;0
"117";"MA";2004;NA;215,502702702703;151,377083333333;991,624645892473;33,0527903006993;22,9224607153285;NA;NA;NA;NA
"118";"MG";2004;67,7253219715762;191,48;123,362891986063;933,854699071782;28,5280017521815;16,7560099494585;"2004";1001577;144050;18,7474352945405
"119";"MS";2004;NA;212,828;117,141666666667;967,423061270833;30,4012443728814;18,6459051166667;NA;NA;NA;NA
"120";"MT";2004;NA;181,777570093458;143,177099236641;982,186226854369;32,8347454031008;20,1933220305344;"2004";34517;2500;8,98108178578671
"121";"PA";2004;NA;191,256687898089;187,917318435754;996,329455514286;32,4093826306818;23,4182944642857;"2004";18781;1400;11,7139662424791
"122";"PB";2004;NA;221,511428571429;111,191428571429;964,710687542373;30,3219586285714;20,8985352428571;NA;NA;NA;NA
"123";"PE";2004;65,2814420909091;222,385227272727;89,8877777777778;957,454070444444;29,6362856111111;20,1961129222222;NA;NA;NA;NA
"124";"PI";2004;59,353864952381;247,60974025974;94,2806451612903;981,123530552941;33,9284515483871;22,0499580580645;NA;NA;NA;NA
"125";"PR";2004;NA;172,238947368421;140,496875;930,217527238095;25,5634215416667;14,7144469895833;"2004";117105;5279;21,5703855514282
"126";"RJ";2004;NA;161,539130434783;109,901388888889;966,712775708333;27,9307822361111;18,2696423333333;"2004";13894;460;18,7131135742047
"127";"RN";2004;56,3019039090909;235,19512195122;104,778048780488;989,649286702128;32,2783853902439;22,7651835243902;NA;NA;NA;NA
"128";"RO";2004;NA;NA;NA;NA;NA;NA;"2004";188000;9000;9,36170212765957
"129";"RR";2004;NA;181,963636363636;170,765217391304;NA;33,7447926956522;22,9718165217391;NA;NA;NA;NA
"130";"RS";2004;NA;199,137962962963;106,587962962963;957,33051244;24,0379008240741;13,6907478240741;NA;NA;NA;NA
"131";"SC";2004;NA;175,75;132,083333333333;912,881129411765;23,6343442619048;13,6929524642857;NA;NA;NA;NA
"132";"SE";2004;NA;194,844444444444;94,9111111111111;995,204985066667;30,0041589166667;21,9193172777778;NA;NA;NA;NA
"133";"SP";2004;NA;189,670754716981;123,210416666667;931,888158647059;26,8791124125874;16,5357733875969;"2004";204700;19000;28,676111382511
"134";"TO";2004;NA;199,047887323944;148,4;977,749039652778;33,1756034057971;21,5303053611111;NA;NA;NA;NA
"135";"AC";2005;NA;153,05;165,025;989,733163791667;31,9791463888889;21,6128661111111;NA;NA;NA;NA
"136";"AL";2005;NA;223,79298245614;98,0775862068966;974,870399724138;30,2848644137931;21,4022380172414;NA;NA;NA;NA
"137";"AM";2005;NA;151,946428571429;196,92298136646;1001,79745215789;33,1858955584416;23,1976799426752;NA;NA;NA;NA
"138";"AP";2005;NA;209,825;215,958333333333;NA;32,0089273333333;24,37609775;NA;NA;NA;NA
"139";"BA";2005;NA;203,03679245283;86,8191044776119;961,443953494881;30,10230191875;19,818164140625;"2005";97175;2415;18,6467712889118
"140";"CE";2005;NA;239,977372262774;62,2709219858156;970,593216938776;32,7719066028369;22,2705715957447;NA;NA;NA;NA
"141";"DF";2005;NA;198,941666666667;141,495833333333;890,187648416667;27,3406304166667;16,2986040833333;NA;NA;NA;NA
"142";"ES";2005;NA;170,829166666667;144,35;1013,60666666667;29,5531825833333;21,2352915;"2005";493958;26698;16,3374214002
"143";"GO";2005;NA;201,962068965517;142,647727272727;933,239559475;30,606954875;18,9786572348485;"2005";0;0;0
"144";"MA";2005;NA;212,105839416058;130,809722222222;991,364512351064;33,5104115539568;23,0158499393939;NA;NA;NA;NA
"145";"MG";2005;61,6955378148148;191,379381443299;118,58275261324;933,515297183824;28,9439090402802;17,254537609319;"2005";1033533;156505;14,7252192237693
"146";"MS";2005;NA;205,601724137931;98,23;967,089710604167;30,80929905;18,925119;NA;NA;NA;NA
"147";"MT";2005;NA;173,888571428571;126,724242424242;980,154530720721;33,193948266129;20,2863475555556;"2005";34500;2500;8,98550724637681
"148";"PA";2005;NA;191,64156626506;191,628488372093;997,239564153846;32,913556;23,7318663139535;"2005";22600;1400;14,6017699115044
"149";"PB";2005;NA;226,250746268657;89,9871428571429;964,2959895;30,6844744705882;21,1635653970588;NA;NA;NA;NA
"150";"PE";2005;NA;226,1;86,6623655913978;955,96107384058;29,7522261612903;20,230761827957;NA;NA;NA;NA
"151";"PI";2005;NA;242,080555555556;81,7421052631579;980,971937588235;34,2624570519481;22,2555504383562;NA;NA;NA;NA
"152";"PR";2005;NA;180,895238095238;133,108333333333;930,035918095238;26,1946030416667;15,4345152395833;"2005";106380;6935;13,4893777025757
"153";"RJ";2005;NA;163,38125;116,213888888889;968,5319438;28,7269758888889;18,9749401666667;"2005";13970;500;21,3314244810308
"154";"RN";2005;NA;242,158024691358;69,289156626506;989,299644;32,9392656707317;23,1107492439024;NA;NA;NA;NA
"155";"RO";2005;NA;NA;NA;NA;NA;NA;"2005";165910;6300;10,6804894219758
"156";"RR";2005;NA;186,988888888889;178,754166666667;NA;33,6050390833333;23,7452765833333;NA;NA;NA;NA
"157";"RS";2005;NA;188,700490196078;132,073488372093;959,554180244275;24,3307536093023;14,126661144186;NA;NA;NA;NA
"158";"SC";2005;NA;173,602380952381;162,582142857143;908,481265285714;24,1497148333333;14,1398435595238;NA;NA;NA;NA
"159";"SE";2005;NA;204,547058823529;83,85;992,114600153846;30,3882490833333;22,3009351714286;NA;NA;NA;NA
"160";"SP";2005;NA;186,00198019802;120,14964028777;930,75458217757;27,3375832919708;17,120444104;"2005";221040;15893;14,5810712993123
"161";"TO";2005;NA;204,627142857143;149,951388888889;977,308760583333;33,1778811944444;21,6633256527778;NA;NA;NA;NA
"162";"AC";2006;100,873063285714;152,74;170,011111111111;990,320170565217;31,7388828888889;21,5304393888889;NA;NA;NA;NA
"163";"AL";2006;79,8386313235294;229,826315789474;101,101694915254;973,232132892857;30,2442783965517;21,4178964827586;NA;NA;NA;NA
