"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"Produtividade";"Producao"
"49";"RR";2001;NA;190,345833333333;123,804166666667;999,17;33,3998540952381;23,033820375;"2001.02";9,5;3600;34,2
"50";"RS";2001;NA;NA;91,2152777777778;959,168116227273;26,5678592083333;15,9538882083333;"2001.02";1460;2675;3905,5
"51";"SC";2001;NA;NA;105,903571428571;916,925774666667;26,0100181111111;15,5187415;"2001.02";832;3733;3105,9
"52";"SE";2001;NA;214,194444444444;100,838888888889;995,282176333333;29,9437208055556;21,6716300277778;"2001.02";100,8;478;48,2
"53";"SP";2001;NA;195,272043010753;112,057037037037;936,692097075;27,7098973834586;17,2280458455285;"2001.02";1083,5;3638;3941,7
"54";"TO";2001;NA;194,636111111111;136,061111111111;977,491002237288;32,949056;21,2234228472222;"2001.02";63,3;1961;124,1
"55";"AC";2002;NA;143,831428571429;179,25;990,687668083333;31,4332405294118;21,7556480555556;"2002.03";34;1456;49,5
"56";"AL";2002;NA;205,640740740741;106,183333333333;974,167315866667;29,9777568813559;20,6910588135593;"2002.03";57;316;18
"57";"AM";2002;NA;154,549382716049;233,055952380952;999,627568541667;32,807427369697;22,9729667590361;"2002.03";10,9;1440;15,7
"58";"AP";2002;NA;209,658333333333;207,341666666667;NA;32,0711585833333;23,7476055833333;"2002.03";1,5;800;1,2
"59";"BA";2002;NA;217,888990825688;74,697619047619;961,103020520408;30,3020885179641;19,7215529667674;"2002.03";797,3;1755;1399,2
"60";"CE";2002;NA;243,750980392157;79,4607142857143;966,499824360465;31,9662239076923;21,9194826461538;"2002.03";713,7;1050;749,4
"61";"DF";2002;NA;219,041666666667;106,016666666667;890,434291041667;27,6481805416667;16,4179842916667;"2002.03";31,6;5684;179,6
"62";"ES";2002;NA;190;107,125;1011,54932333333;29,8150668333333;21,537926625;"2002.03";52,7;2750;144,9
"63";"GO";2002;NA;217,795145631068;106,468939393939;934,095739369369;31,2225658484848;19,0303167461538;"2002.03";715;4873;3484,3
"64";"MA";2002;NA;215,244927536232;131,29375;992,09417616092;33,091717125;22,8348634965035;"2002.03";360,2;1150;414,2
"65";"MG";2002;NA;212,878587196468;97,7802867383513;933,69084319;29,660386410609;17,4570348120155;"2002.03";1269,1;4198;5327,3
"66";"MS";2002;NA;218,595454545455;75,8214285714286;966,473223673913;31,5088480754717;19,8384234285714;"2002.03";701,9;4331;3039,7
"67";"MT";2002;NA;207,682857142857;113,576515151515;983,263034072917;33,4869529612403;20,13303765625;"2002.03";879,3;3671;3227,8
"68";"PA";2002;NA;199,372289156626;175,982142857143;998,151388164179;32,4724153293413;23,2826611437126;"2002.03";293,4;1800;528,1
"69";"PB";2002;NA;237,546666666667;95,3277777777778;966,448406333333;30,5911339444444;21,2739056111111;"2002.03";178,5;690;123,2
"70";"PE";2002;NA;225,901123595506;78,4635416666667;948,837392714286;29,7699791182796;20,1758299263158;"2002.03";285,2;288;82,1
"71";"PI";2002;NA;261,225454545455;61,82;981,296457616279;34,174120328;22,0798122177419;"2002.03";282,8;1016;287,3
"72";"PR";2002;NA;173,323958333333;135,836458333333;931,269850202381;26,9461824479167;15,9774641684211;"2002.03";2805,8;4867;13657,2
"73";"RJ";2002;NA;197,057894736842;86,6826923076923;970,100267724138;29,22648565625;18,928658421875;"2002.03";9,7;2278;22,1
"74";"RN";2002;NA;245,774647887324;84,2785714285714;990,05829484;32,36865325;22,810666037037;"2002.03";109,3;650;71
"75";"RO";2002;NA;NA;NA;NA;NA;NA;"2002.03";100;1840;184
"76";"RR";2002;NA;181,588235294118;151,654166666667;NA;33,8185754583333;23,558766375;"2002.03";8,9;4798;42,7
"77";"RS";2002;NA;165,759134615385;190,475462962963;959,660850515385;23,9721403033175;14,6161378199052;"2002.03";1408,9;3750;5283,4
"78";"SC";2002;NA;151,411111111111;156,645238095238;906,366352020833;24,5540466829268;14,8914738292683;"2002.03";848,6;4990;4234,5
"79";"SE";2002;NA;201,519444444444;85,9888888888889;994,977082466667;30,2046052121212;21,989733;"2002.03";110,9;1200;133,1
"80";"SP";2002;NA;199,256481481481;113,177777777778;937,2288511;28,594079027972;17,3288615467626;"2002.03";1091;4174;4553,4
"81";"TO";2002;NA;212,592647058824;134,218055555556;977,540419602941;33,2022728181818;21,5121861527778;"2002.03";69;2290;158
"82";"AC";2003;116,596794541667;143,091666666667;176,036111111111;990,142593166667;31,5824538055556;21,4601189444444;"2003.04";38;1529;52
"83";"AL";2003;86,2915033559322;220,661403508772;70,7396551724138;969,857967583333;30,775533;21,2597769122807;"2003.04";79;599;21,7
"84";"AM";2003;136,765992763636;157,201290322581;208,234545454545;1002,19365316667;32,8894181779141;23,2084337625;"2003.04";10,9;1440;15,7
"85";"AP";2003;136,087637;214,3;160,108333333333;1011,00390666667;32,0579475;23,8107079166667;"2003.04";1,5;800;1,2
"86";"BA";2003;76,3049576428571;219,302605863192;58,5421052631579;961,246393628159;30,63119169279;19,8674617619048;"2003.04";734,9;2167;1656,8
"87";"CE";2003;94,6029469255319;238,268571428571;92,0163120567376;968,026697877778;32,4395444071429;22,0586055142857;"2003.04";681,6;520;372,8
"88";"DF";2003;78,9530362857143;204,3625;99,2625;890,748838625;27,2905829166667;16,0239017083333;"2003.04";32,9;5571;183,3
"89";"ES";2003;72,73987175;197,586956521739;87,8625;1013,09;30,1041605416667;21,3170280416667;"2003.04";49,5;2529;125,2
"90";"GO";2003;75,2124330941176;208,7;120,795454545455;933,968476183333;30,6239888333333;18,5304708244275;"2003.04";676,8;4983;3372,3
"91";"MA";2003;110,389901589474;214,3875;130,452083333333;991,354097826087;33,1078379791667;22,8894817202797;"2003.04";371;1160;430,4
"92";"MG";2003;70,7574803318486;208,789452332657;95,8365079365079;933,593994329049;29,56443760746;16,9696414251825;"2003.04";1346,5;4456;6000,4
"93";"MS";2003;92,2921922857143;208,868965517241;125,657446808511;967,025999536585;30,3477906153846;19,0679318863636;"2003.04";628,3;3818;2353
"94";"MT";2003;92,3898355679012;187,957608695652;149,733333333333;984,076006058824;32,6506335267857;20,2009141465517;"2003.04";970,9;3450;3446,4
"95";"PA";2003;127,740185209091;194,393209876543;176,593529411765;998,234605587302;32,3671850710059;23,3848913293413;"2003.04";286,5;1800;522,9
"96";"PB";2003;96,5324178085106;233,426086956522;84,9125;965,822454693548;30,9633701408451;20,960969943662;"2003.04";192,8;702;135,3
"97";"PE";2003;74,4745255;239,061290322581;60,8147368421053;951,455935880952;30,360377688172;20,5050693010753;"2003.04";273,8;410;67,1
"98";"PI";2003;89,0224949724771;249,985256410256;82,9224358974359;980,847726870588;34,180157801282;22,1860741538462;"2003.04";297,8;510;134
"99";"PR";2003;84,704234984127;185,138043478261;133,239784946237;932,949861703704;26,5221033295455;15,0808587934783;"2003.04";2447,1;4574;11192,1
"100";"RJ";2003;80,8209639574468;185,936170212766;105,054166666667;968,622258551724;28,9493069305556;18,5039357916667;"2003.04";11,4;2096;23,9
"101";"RN";2003;96,7162977118644;249,153012048193;66,325;991,078030057692;32,9035659277108;23,1489768554217;"2003.04";124,1;470;58,3
"102";"RO";2003;NA;NA;NA;NA;NA;NA;"2003.04";131,5;2058;275,4
"103";"RR";2003;116,960464375;190,463636363636;156,673913043478;NA;33,9513070434783;23,030242;"2003.04";17,3;2503;43,3
"104";"RS";2003;74,7100622647059;190,433177570093;146,585648148148;960,106773832061;23,970137337963;13,7368228472222;"2003.04";1296,2;2700;3499,7
"105";"SC";2003;78,258384625;175,563855421687;126,627710843373;911,08926384;24,1985389518072;13,9798466962025;"2003.04";814,7;4100;3340,3
"106";"SE";2003;108,719144333333;214,405555555556;92,5361111111111;997,145592411765;30,3047383611111;22,4727176666667;"2003.04";132;1200;126,2
"107";"SP";2003;75,9794678470588;198,178571428571;106,50071942446;929,933858621622;27,7690478188406;17,0172522204724;"2003.04";1058,1;4253;4499,6
"108";"TO";2003;94,4114559545455;199,174242424242;127,584722222222;978,037133222222;33,1640109;21,5060048676471;"2003.04";77,9;2290;179,2
"109";"AC";2004;NA;129,094285714286;193,619444444444;989,971067625;31,1478021111111;21,6754881111111;"2004.05";42,5;1489;63,3
"110";"AL";2004;90,78535725;209,356140350877;116,825862068966;974,906392655172;30,1638966842105;21,0016;"2004.05";79;615;48,6
"111";"AM";2004;NA;149,389285714286;191,475163398693;999,978961;32,7554435410959;22,956698972028;"2004.05";12,9;1938;25
"112";"AP";2004;NA;217,683333333333;225,108333333333;1009,43666666667;31,9466689166667;23,8583738333333;"2004.05";1,5;867;1,3
"113";"BA";2004;NA;203,84501607717;80,2297619047619;961,042956351724;29,9063275348101;19,4281731322581;"2004.05";802,6;2039;1636,2
"114";"CE";2004;NA;227,233571428571;103,265957446809;968,486234554348;31,9187835571429;21,8689068928571;"2004.05";558,9;460;257,1
"115";"DF";2004;NA;194,870833333333;129,070833333333;890,38339375;26,910445875;16,0187520833333;"2004.05";36,7;6185;227
"116";"ES";2004;NA;173,509090909091;142,283333333333;1011,40580666667;29,11950125;20,9838408333333;"2004.05";46;2600;119,6
"117";"GO";2004;NA;205,688495575221;135,094696969697;933,362836541667;30,3088081679389;18,4799062651515;"2004.05";605;4653;2814,8
"118";"MA";2004;NA;215,502702702703;151,377083333333;991,624645892473;33,0527903006993;22,9224607153285;"2004.05";385,8;1050;405,1
"119";"MG";2004;67,7253219715762;191,48;123,362891986063;933,854699071782;28,5280017521815;16,7560099494585;"2004.05";1359,7;4539;6172,3
"120";"MS";2004;NA;212,828;117,141666666667;967,423061270833;30,4012443728814;18,6459051166667;"2004.05";564,4;2475;1396,9
"121";"MT";2004;NA;181,777570093458;143,177099236641;982,186226854369;32,8347454031008;20,1933220305344;"2004.05";1058,7;3197;3384,4
"122";"PA";2004;NA;191,256687898089;187,917318435754;996,329455514286;32,4093826306818;23,4182944642857;"2004.05";281,6;2010;566
"123";"PB";2004;NA;221,511428571429;111,191428571429;964,710687542373;30,3219586285714;20,8985352428571;"2004.05";189,5;476;90,2
"124";"PE";2004;65,2814420909091;222,385227272727;89,8877777777778;957,454070444444;29,6362856111111;20,1961129222222;"2004.05";246,4;575;141,7
"125";"PI";2004;59,353864952381;247,60974025974;94,2806451612903;981,123530552941;33,9284515483871;22,0499580580645;"2004.05";294,8;663;195,5
"126";"PR";2004;NA;172,238947368421;140,496875;930,217527238095;25,5634215416667;14,7144469895833;"2004.05";2106,1;3995;8414,3
"127";"RJ";2004;NA;161,539130434783;109,901388888889;966,712775708333;27,9307822361111;18,2696423333333;"2004.05";11,6;2276;26,4
"128";"RN";2004;56,3019039090909;235,19512195122;104,778048780488;989,649286702128;32,2783853902439;22,7651835243902;"2004.05";65,2;451;29,4
"129";"RO";2004;NA;NA;NA;NA;NA;NA;"2004.05";137,3;1950;267,8
"130";"RR";2004;NA;181,963636363636;170,765217391304;NA;33,7447926956522;22,9718165217391;"2004.05";13;2000;26
"131";"RS";2004;NA;199,137962962963;106,587962962963;957,33051244;24,0379008240741;13,6907478240741;"2004.05";1237,9;1269;1570,9
"132";"SC";2004;NA;175,75;132,083333333333;912,881129411765;23,6343442619048;13,6929524642857;"2004.05";798,4;3530;2818,4
"133";"SE";2004;NA;194,844444444444;94,9111111111111;995,204985066667;30,0041589166667;21,9193172777778;"2004.05";127,4;1300;165,6
"134";"SP";2004;NA;189,670754716981;123,210416666667;931,888158647059;26,8791124125874;16,5357733875969;"2004.05";1066,8;3735;3984,5
"135";"TO";2004;NA;199,047887323944;148,4;977,749039652778;33,1756034057971;21,5303053611111;"2004.05";78,5;2018;158,4
"136";"AC";2005;NA;153,05;165,025;989,733163791667;31,9791463888889;21,6128661111111;"2005.06";36,6;1459;53,4
