"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"86","BA",2003,675.5,410.1,18.6974789915966,NA,1656.8,2218.1,2.5
"87","CE",2003,13.4,9,NA,NA,372.8,0,0
"88","DF",2003,9.7,6,NA,NA,183.3,132.4,5.5
"89","ES",2003,0,0,12.6871401151631,NA,125.2,0,0
"90","GO",2003,445.4,276.2,0,NA,3372.3,6147.1,82.8
"91","MA",2003,22.2,13.9,NA,NA,430.4,924.1,0
"92","MG",2003,127.4,79.6,12.3336745138178,NA,6000.4,2659.2,52.1
"93","MS",2003,192.1,118.1,NA,NA,2353,3324.8,221
"94","MT",2003,1584.8,971.5,11.9113573407202,NA,3446.4,15008.8,1.7
"95","PA",2003,0,0,12.2222222222222,NA,522.9,95,0
"96","PB",2003,22.1,14.8,NA,NA,135.3,0,0
"97","PE",2003,2.4,1.6,NA,NA,67.1,0,0
"98","PI",2003,9.7,6.5,NA,NA,134,396.7,0
"99","PR",2003,92,59.5,15.9902597402597,NA,11192.1,10036.5,3173.9
"100","RJ",2003,0,0,11.8181818181818,NA,23.9,0,0
"101","RN",2003,13.1,8.8,NA,NA,58.3,0,0
"102","RO",2003,0,0,13.2978723404255,NA,275.4,177.9,0
"103","RR",2003,0,0,NA,NA,43.3,28.8,0
"104","RS",2003,0,0,NA,NA,3499.7,5559.4,2245.6
"105","SC",2003,0,0,NA,NA,3340.3,656.7,173.1
"106","SE",2003,0,0,NA,NA,126.2,0,0
"107","SP",2003,182.7,113.2,13.3809523809524,NA,4499.6,1815.2,115.3
"108","TO",2003,12,7.6,NA,NA,179.2,606.6,0
"109","AC",2004,0,0,NA,NA,63.3,0,0
"110","AL",2004,3,2.00799,NA,NA,48.6,0,0
"111","AM",2004,0,0,NA,NA,25,8.4,0
"112","AP",2004,0,0,NA,NA,1.3,0,0
"113","BA",2004,782.1,498.0261,23.5652983145486,NA,1636.2,2401.2,2.5
"114","CE",2004,6.4,4.30542,NA,NA,257.1,0,0
"115","DF",2004,14.4,8.94474,NA,NA,227,188.7,5.5
"116","ES",2004,0,0,13.3816213916886,NA,119.6,0,0
"117","GO",2004,420.3,260.59995,0,NA,2814.8,6985.1,86.8
"118","MA",2004,21.6,13.5,NA,NA,405.1,997.5,0
"119","MG",2004,141.5,88.41375,18.7474352945405,NA,6172.3,3021.6,61
"120","MS",2004,180.2,111.384612,NA,NA,1396.9,3862.6,204
"121","MT",2004,1544.5,962.206056,8.98108178578671,NA,3384.4,17937.1,1.7
