"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"404","SP",2014,11.9,7.2,22.980078723596,341589.7,3956.5,2108.7,150.3
"405","TO",2014,25.7,15.8,NA,2348.4,782.3,2306.7,0
"406","AC",2015,NA,NA,NA,0,NA,NA,NA
"407","AL",2015,NA,NA,NA,22687.8,NA,NA,NA
"408","AM",2015,NA,NA,NA,260,NA,NA,NA
"409","AP",2015,NA,NA,NA,0,NA,NA,NA
"410","BA",2015,NA,NA,15.9403751274072,4372.2,NA,NA,NA
"411","CE",2015,NA,NA,NA,138.9,NA,NA,NA
"412","DF",2015,NA,NA,NA,0,NA,NA,NA
"413","ES",2015,NA,NA,26.2168799810694,2771.8,NA,NA,NA
"414","GO",2015,NA,NA,45.3656628861948,68654.1,NA,NA,NA
"415","MA",2015,NA,NA,NA,2722.7,NA,NA,NA
"416","MG",2015,NA,NA,23.3252292310552,60596.3,NA,NA,NA
"417","MS",2015,NA,NA,NA,45374.9,NA,NA,NA
"418","MT",2015,NA,NA,8.2475764354959,17289.2,NA,NA,NA
"419","PA",2015,NA,NA,15.6728352753027,831.6,NA,NA,NA
"420","PB",2015,NA,NA,NA,6586.2,NA,NA,NA
"421","PE",2015,NA,NA,NA,15260,NA,NA,NA
"422","PI",2015,NA,NA,NA,1033.8,NA,NA,NA
"423","PR",2015,NA,NA,23.6406619385343,45632.7,NA,NA,NA
"424","RJ",2015,NA,NA,22.8741297035125,1642,NA,NA,NA
"425","RN",2015,NA,NA,NA,2880.3,NA,NA,NA
"426","RO",2015,NA,NA,17.5701130179992,397.1,NA,NA,NA
"427","RR",2015,NA,NA,NA,0,NA,NA,NA
"428","RS",2015,NA,NA,NA,74.2,NA,NA,NA
"429","SC",2015,NA,NA,NA,0,NA,NA,NA
"430","SE",2015,NA,NA,NA,2480,NA,NA,NA
"431","SP",2015,NA,NA,21.5453198474371,350641.9,NA,NA,NA
"432","TO",2015,NA,NA,NA,2285.7,NA,NA,NA
