"","regiao","Safra","Area","Produtividade","Producao"
"94","NORTE/NORDESTE","2011.12","2834.7","2917","8268.5"
"95","CENTRO-SUL","2011.12","22207.5","2617","58114.5"
"96","BRASIL","2011.12","25042.2","2651","66383"
"97","NORTE","2012.13","901.5","2952.3853577371046","2661.5"
"98","NORDESTE","2012.13","2414.3","2193.087520192188","5294.8"
"99","CENTRO-OESTE","2012.13","12778.2","2980.9665680612293","38091.4"
"100","SUDESTE","2012.13","1758.2","3086.083494482994","5425.9"
"101","SUL","2012.13","9883.9","3037.8448588107926","30025.8"
"102","NORTE/NORDESTE","2012.13","3315.8","2399.525484046082","7956.3"
"103","CENTRO-SUL","2012.13","24420.3","3011.5557057038604","73543.1"
"104","BRASIL","2012.13","27736.1","2938.388612674457","81499.4"
"105","NORTE","2013.14","1178.9","2876.6938671643056","3391.3"
"106","NORDESTE","2013.14","2602.2","2544.352086695873","6620.9"
"107","CENTRO-OESTE","2013.14","13909.4","3005.1988798941716","41800.5"
"108","SUDESTE","2013.14","1989.9","2520.4088647670733","5015.3"
"109","SUL","2013.14","10492.7","2791.72367455469","29292.8"
"110","NORTE/NORDESTE","2013.14","3781.1","2647.9721245140304","10012.2"
"111","CENTRO-SUL","2013.14","26392","2883.775155350106","76108.6"
"112","BRASIL","2013.14","30173.1","2854.2258269783356","86120.8"
"113","NORTE","2014.15Prev","1315.2","2894.5583941605837","3806.9"
"114","NORDESTE","2014.15Prev","2716","2870.239212076583","7795.5"
"115","CENTRO-OESTE","2014.15Prev","14402.1","3029.4248130480973","43630.1"
"116","SUDESTE","2014.15Prev","2051.1","2665.8982009653355","5468.1"
"117","SUL","2014.15Prev","11019.8","3047.229187462568","33579.9"
"118","NORTE/NORDESTE","2014.15Prev","4031.2","2878.1734719190313","11602.4"
"119","CENTRO-SUL","2014.15Prev","27473","3009.4259491136754","82678.1"
"120","BRASIL","2014.15Prev","31504.2","2992.6312047282586","94280.5"
