"","UF","Safra","Area","Produtividade","Producao"
"133","PR","2004.05","4148.4","2340","9707.3"
"134","SC","2004.05","350","1840","644"
"135","RS","2004.05","4090.1","698","2854.9"
"136","RR","2005.06","10","2800","28"
"137","RO","2005.06","106.4","2660","283"
"138","AC","2005.06","0","0","0"
"139","AM","2005.06","1.9","3000","5.7"
"140","AP","2005.06","0","0","0"
"141","PA","2005.06","79.7","2987","238.1"
"142","TO","2005.06","309.5","2263","700.4"
"143","MA","2005.06","382.5","2680","1025.1"
"144","PI","2005.06","232","2347","544.5"
"145","CE","2005.06","0","0","0"
"146","RN","2005.06","0","0","0"
"147","PB","2005.06","0","0","0"
"148","PE","2005.06","0","0","0"
"149","AL","2005.06","0","0","0"
"150","SE","2005.06","0","0","0"
"151","BA","2005.06","872.6","2282","1991.3"
"152","MT","2005.06","6196.8","2695","16700.4"
"153","MS","2005.06","1949.6","2280","4445.1"
"154","GO","2005.06","2542.2","2570","6533.5"
"155","DF","2005.06","54","2699","145.7"
"156","MG","2005.06","1060.9","2340","2482.5"
"157","ES","2005.06","0","0","0"
"158","RJ","2005.06","0","0","0"
"159","SP","2005.06","656.6","2520","1654.6"
"160","PR","2005.06","3982.5","2422","9645.6"
"161","SC","2005.06","344.8","2400","827.5"
"162","RS","2005.06","3967.4","1960","7776.1"
"163","RR","2006.07","5.5","2800","15.4"
"164","RO","2006.07","90.4","3070","277.5"
"165","AC","2006.07","0","0","0"
"166","AM","2006.07","0","0","0"
"167","AP","2006.07","0","0","0"
"168","PA","2006.07","47","2990","140.5"
"169","TO","2006.07","267.7","2415","646.5"
"170","MA","2006.07","384.4","2820","1084"
"171","PI","2006.07","219.7","2212","486"
"172","CE","2006.07","0","0","0"
"173","RN","2006.07","0","0","0"
"174","PB","2006.07","0","0","0"
"175","PE","2006.07","0","0","0"
"176","AL","2006.07","0","0","0"
"177","SE","2006.07","0","0","0"
"178","BA","2006.07","850.8","2700","2297.2"
"179","MT","2006.07","5124.8","2997","15359"
"180","MS","2006.07","1737.1","2810","4881.3"
"181","GO","2006.07","2191.4","2790","6114"
"182","DF","2006.07","51.8","2712","140.5"
"183","MG","2006.07","930.4","2760","2567.9"
"184","ES","2006.07","0","0","0"
"185","RJ","2006.07","0","0","0"
"186","SP","2006.07","538.4","2670","1437.5"
"187","PR","2006.07","3978.5","2995","11915.6"
"188","SC","2006.07","376.9","2930","1104.3"
"189","RS","2006.07","3892","2550","9924.6"
"190","RR","2007.08","15","3250","48.8"
"191","RO","2007.08","99.8","3122","311.6"
"192","AC","2007.08","0","0","0"
"193","AM","2007.08","0","0","0"
"194","AP","2007.08","0","0","0"
"195","PA","2007.08","71.1","2828","201.1"
"196","TO","2007.08","331.6","2747","910.9"
"197","MA","2007.08","421.5","2996","1262.8"
"198","PI","2007.08","253.6","3231","819.4"
"199","CE","2007.08","0","0","0"
"200","RN","2007.08","0","0","0"
"201","PB","2007.08","0","0","0"
"202","PE","2007.08","0","0","0"
"203","AL","2007.08","0","0","0"
"204","SE","2007.08","0","0","0"
"205","BA","2007.08","905","3036","2747.6"
"206","MT","2007.08","5675","3145","17847.9"
"207","MS","2007.08","1731.4","2639","4569.2"
"208","GO","2007.08","2179.7","3002","6543.5"
"209","DF","2007.08","48.7","3150","153.4"
"210","MG","2007.08","870","2916","2536.9"
"211","ES","2007.08","0","0","0"
"212","RJ","2007.08","0","0","0"
"213","SP","2007.08","526","2750","1446.5"
"214","PR","2007.08","3977.3","2991","11896.1"
"215","SC","2007.08","373.4","2535","946.6"
"216","RS","2007.08","3834","2028","7775.4"
"217","RR","2008.09","8","2800","22.4"
"218","RO","2008.09","106","3080","326.5"
"219","AC","2008.09","0","0","0"
"220","AM","2008.09","0","0","0"
"221","AP","2008.09","0","0","0"
