Commodity2,Attribute,Description,YearProjected2,Year2,Value
Corn,Beginning stocks,Million bushels,2007,2014/2015,725
Corn,Beginning stocks,Million bushels,2007,2015/2016,750
Corn,Beginning stocks,Million bushels,2007,2016/2017,765
Corn,Beginning stocks,Million bushels,2008,2006/2007,1967
Corn,Beginning stocks,Million bushels,2008,2007/2008,1304
Corn,Beginning stocks,Million bushels,2008,2008/2009,1897
Corn,Beginning stocks,Million bushels,2008,2009/2010,1327
Corn,Beginning stocks,Million bushels,2008,2010/2011,1202
Corn,Beginning stocks,Million bushels,2008,2011/2012,1402
Corn,Beginning stocks,Million bushels,2008,2012/2013,1502
Corn,Beginning stocks,Million bushels,2008,2013/2014,1447
Corn,Beginning stocks,Million bushels,2008,2014/2015,1377
Corn,Beginning stocks,Million bushels,2008,2015/2016,1372
Corn,Beginning stocks,Million bushels,2008,2016/2017,1327
Corn,Beginning stocks,Million bushels,2008,2017/2018,1262
Corn,Beginning stocks,Million bushels,2009,2007/2008,1304
Corn,Beginning stocks,Million bushels,2009,2008/2009,1624
Corn,Beginning stocks,Million bushels,2009,2009/2010,1124
Corn,Beginning stocks,Million bushels,2009,2010/2011,1004
Corn,Beginning stocks,Million bushels,2009,2011/2012,1029
Corn,Beginning stocks,Million bushels,2009,2012/2013,1174
Corn,Beginning stocks,Million bushels,2009,2013/2014,1274
Corn,Beginning stocks,Million bushels,2009,2014/2015,1329
Corn,Beginning stocks,Million bushels,2009,2015/2016,1344
Corn,Beginning stocks,Million bushels,2009,2016/2017,1339
Corn,Beginning stocks,Million bushels,2009,2017/2018,1424
Corn,Beginning stocks,Million bushels,2009,2018/2019,1514
Corn,Beginning stocks,Million bushels,2010,2008/2009,1624
Corn,Beginning stocks,Million bushels,2010,2009/2010,1674
Corn,Beginning stocks,Million bushels,2010,2010/2011,1625
Corn,Beginning stocks,Million bushels,2010,2011/2012,1480
Corn,Beginning stocks,Million bushels,2010,2012/2013,1610
Corn,Beginning stocks,Million bushels,2010,2013/2014,1590
Corn,Beginning stocks,Million bushels,2010,2014/2015,1550
Corn,Beginning stocks,Million bushels,2010,2015/2016,1520
Corn,Beginning stocks,Million bushels,2010,2016/2017,1470
Corn,Beginning stocks,Million bushels,2010,2017/2018,1450
Corn,Beginning stocks,Million bushels,2010,2018/2019,1460
Corn,Beginning stocks,Million bushels,2010,2019/2020,1505
Corn,Beginning stocks,Million bushels,2011,2009/2010,1673
Corn,Beginning stocks,Million bushels,2011,2010/2011,1708
Corn,Beginning stocks,Million bushels,2011,2011/2012,827
Corn,Beginning stocks,Million bushels,2011,2012/2013,1127
Corn,Beginning stocks,Million bushels,2011,2013/2014,1332
Corn,Beginning stocks,Million bushels,2011,2014/2015,1437
Corn,Beginning stocks,Million bushels,2011,2015/2016,1447
Corn,Beginning stocks,Million bushels,2011,2016/2017,1442
Corn,Beginning stocks,Million bushels,2011,2017/2018,1342
Corn,Beginning stocks,Million bushels,2011,2018/2019,1262
Corn,Beginning stocks,Million bushels,2011,2019/2020,1227
Corn,Beginning stocks,Million bushels,2011,2020/2021,1242
Corn,Beginning stocks,Million bushels,2012,2010/2011,1708
Corn,Beginning stocks,Million bushels,2012,2011/2012,1128
Corn,Beginning stocks,Million bushels,2012,2012/2013,843
Corn,Beginning stocks,Million bushels,2012,2013/2014,1623
Corn,Beginning stocks,Million bushels,2012,2014/2015,1683
Corn,Beginning stocks,Million bushels,2012,2015/2016,1588
Corn,Beginning stocks,Million bushels,2012,2016/2017,1508
Corn,Beginning stocks,Million bushels,2012,2017/2018,1473
Corn,Beginning stocks,Million bushels,2012,2018/2019,1483
Corn,Beginning stocks,Million bushels,2012,2019/2020,1453
Corn,Beginning stocks,Million bushels,2012,2020/2021,1468
Corn,Beginning stocks,Million bushels,2012,2021/2022,1468
Corn,Beginning stocks,Million bushels,2013,2011/2012,1128
Corn,Beginning stocks,Million bushels,2013,2012/2013,988
Corn,Beginning stocks,Million bushels,2013,2013/2014,647
Corn,Beginning stocks,Million bushels,2013,2014/2015,2067
Corn,Beginning stocks,Million bushels,2013,2015/2016,2232
Corn,Beginning stocks,Million bushels,2013,2016/2017,1817
Corn,Beginning stocks,Million bushels,2013,2017/2018,1672
Corn,Beginning stocks,Million bushels,2013,2018/2019,1617
Corn,Beginning stocks,Million bushels,2013,2019/2020,1627
Corn,Beginning stocks,Million bushels,2013,2020/2021,1617
Corn,Beginning stocks,Million bushels,2013,2021/2022,1592
Corn,Beginning stocks,Million bushels,2013,2022/2023,1547
Corn,Beginning stocks,Million bushels,2014,2012/2013,989
Corn,Beginning stocks,Million bushels,2014,2013/2014,824
Corn,Beginning stocks,Million bushels,2014,2014/2015,1887
Corn,Beginning stocks,Million bushels,2014,2015/2016,2607
Corn,Beginning stocks,Million bushels,2014,2016/2017,2877
Corn,Beginning stocks,Million bushels,2014,2017/2018,2807
Corn,Beginning stocks,Million bushels,2014,2018/2019,2612
Corn,Beginning stocks,Million bushels,2014,2019/2020,2437
Corn,Beginning stocks,Million bushels,2014,2020/2021,2262
