"","UF","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"67","PE","2002.03","6.2","500","161.290322580645","338.709677419355","32.258064516129","3.1","1","2.1"
"68","AL","2002.03","14.6","490","164.383561643836","328.767123287671","33.3333333333333","7.2","2.4","4.8"
"69","SE","2002.03","0","0","0","0","0","0","0","0"
"70","BA","2002.03","86.3","3300","1319.81460023175","1980.30127462341","39.9929775280899","284.8","113.9","170.9"
"71","MT","2002.03","300.3","3570","1373.95937395937","2196.1371961372","38.4852159313497","1072.1","412.6","659.5"
"72","MS","2002.03","43.6","3720","1431.19266055046","2288.99082568807","38.4710234278668","162.2","62.4","99.8"
"73","GO","2002.03","95.4","3150","1197.06498951782","1952.83018867925","38.0033277870216","300.5","114.2","186.3"
"74","DF","2002.03","2","3900","1500","2400","38.4615384615385","7.8","3","4.8"
"75","MG","2002.03","35.2","2430","911.931818181818","1517.04545454545","37.5438596491228","85.5","32.1","53.4"
"76","ES","2002.03","0","0","0","0","0","0","0","0"
"77","RJ","2002.03","0","0","0","0","0","0","0","0"
"78","SP","2002.03","59.9","2700","1026.71118530885","1672.78797996661","38.0333951762523","161.7","61.5","100.2"
"79","PR","2002.03","29.3","2370","836.17747440273","1532.42320819113","35.3025936599424","69.4","24.5","44.9"
"80","SC","2002.03","0","0","0","0","0","0","0","0"
"81","RS","2002.03","0","0","0","0","0","0","0","0"
"82","RR","2003.04","0","0","0","0","0","0","0","0"
"83","RO","2003.04","0","0","0","0","0","0","0","0"
"84","AC","2003.04","0","0","0","0","0","0","0","0"
"85","AM","2003.04","0","0","0","0","0","0","0","0"
"86","AP","2003.04","0","0","0","0","0","0","0","0"
"87","PA","2003.04","0","0","0","0","0","0","0","0"
"88","TO","2003.04","3.8","3150","1157.89473684211","2000","36.6666666666667","12","4.4","7.6"
"89","MA","2003.04","6.9","3220","1202.89855072464","2014.49275362319","37.3873873873874","22.2","8.3","13.9"
"90","PI","2003.04","13.2","735","242.424242424242","492.424242424242","32.9896907216495","9.7","3.2","6.5"
"91","CE","2003.04","16.8","795","261.904761904762","535.714285714286","32.8358208955224","13.4","4.4","9"
"92","RN","2003.04","23","570","186.95652173913","382.608695652174","32.824427480916","13.1","4.3","8.8"
"93","PB","2003.04","24.6","900","296.747967479675","601.626016260162","33.0316742081448","22.1","7.3","14.8"
"94","PE","2003.04","4.7","500","170.212765957447","340.425531914894","33.3333333333333","2.4","0.8","1.6"
"95","AL","2003.04","9.5","430","136.842105263158","294.736842105263","31.7073170731707","4.1","1.3","2.8"
"96","SE","2003.04","0","0","0","0","0","0","0","0"
"97","BA","2003.04","197.5","3420","1343.79746835443","2076.45569620253","39.2894152479645","675.5","265.4","410.1"
"98","MT","2003.04","438.4","3615","1398.95072992701","2216.01277372263","38.6988894497728","1584.8","613.3","971.5"
"99","MS","2003.04","54.5","3525","1357.79816513761","2166.97247706422","38.5216033315981","192.1","74","118.1"
"100","GO","2003.04","135.6","3285","1247.78761061947","2036.87315634218","37.9883251010328","445.4","169.2","276.2"
"101","DF","2003.04","3.6","2700","1027.77777777778","1666.66666666667","38.1443298969072","9.7","3.7","6"
"102","MG","2003.04","49.3","2585","969.574036511156","1614.60446247465","37.519623233909","127.4","47.8","79.6"
"103","ES","2003.04","0","0","0","0","0","0","0","0"
"104","RJ","2003.04","0","0","0","0","0","0","0","0"
"105","SP","2003.04","72.5","2520","958.620689655172","1561.37931034483","38.0405035577449","182.7","69.5","113.2"
"106","PR","2003.04","46.1","1995","704.989154013015","1290.67245119306","35.3260869565217","92","32.5","59.5"
"107","SC","2003.04","0","0","0","0","0","0","0","0"
"108","RS","2003.04","0","0","0","0","0","0","0","0"
"109","RR","2004.05","0","0","0","0","0","0","0","0"
"110","RO","2004.05","0","0","0","0","0","0","0","0"
"111","AC","2004.05","0","0","0","0","0","0","0","0"
