"","UF","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"374","RJ","2013.14","0","0","0","0","38","0","0","0"
"375","SP","2013.14","8","3375","1333","2042","39.5","27","10.7","16.3"
"376","PR","2013.14","0.9","2375","903","1473","38","2.1","0.8","1.3"
"377","SC","2013.14","0","0","0","0","0","0","0","0"
"378","RS","2013.14","0","0","0","0","0","0","0","0"
"379","RR","2014.15Prev","0","0","0","0","0","0","0","0"
"380","RO","2014.15Prev","0","0","0","0","0","0","0","0"
"381","AC","2014.15Prev","0","0","0","0","0","0","0","0"
"382","AM","2014.15Prev","0","0","0","0","0","0","0","0"
"383","AP","2014.15Prev","0","0","0","0","0","0","0","0"
"384","PA","2014.15Prev","0","0","0","0","0","0","0","0"
"385","TO","2014.15Prev","6.6","3895","1500","2395","38.5","25.7","9.9","15.8"
"386","MA","2014.15Prev","21.4","3984","1574","2410","39.5","85.3","33.7","51.6"
"387","PI","2014.15Prev","14.3","3721","1470","2251","39.5","53.2","21","32.2"
"388","CE","2014.15Prev","1.8","651","228","423","35","1.2","0.4","0.8"
"389","RN","2014.15Prev","0.5","3576","1359","2217","38","1.8","0.7","1.1"
"390","PB","2014.15Prev","0.3","1146","401","745","35","0.3","0.1","0.2"
"391","PE","2014.15Prev","0.1","512","179","333","35","0.1","0","0"
"392","AL","2014.15Prev","0.1","490","172","319","35","0","0","0"
"393","SE","2014.15Prev","0","0","0","0","0","0","0","0"
"394","BA","2014.15Prev","281.1","4050","1584","2466","39.1","1138.5","445.1","693.3"
"395","MT","2014.15Prev","562.7","3875","1531","2344","39.5","2180.5","861.3","1319.2"
"396","MS","2014.15Prev","31","4200","1659","2541","39.5","130.2","51.4","78.8"
"397","GO","2014.15Prev","33.8","4034","1589","2445","39.4","136.3","53.7","82.6"
"398","DF","2014.15Prev","0","0","0","0","0","0","0","0"
"399","MG","2014.15Prev","18.8","3600","1404","2196","39","67.7","26.4","41.3"
"400","ES","2014.15Prev","0","0","0","0","38","0","0","0"
"401","RJ","2014.15Prev","0","0","0","0","38","0","0","0"
"402","SP","2014.15Prev","3.5","3395","1341","2054","39.5","11.9","4.7","7.2"
"403","PR","2014.15Prev","0.9","2179","828","1351","38","2","0.7","1.2"
"404","SC","2014.15Prev","0","0","0","0","0","0","0","0"
"405","RS","2014.15Prev","0","0","0","0","0","0","0","0"
