"","UF","Safra","Area","AreaFormacao","Produtividade","Producao"
"127","ES","2013",453167,45915,25.811676490124,11697
"128","RJ","2013",13276,4,21.1660138595963,281
"129","SP","2013",162328.5,17027.5,24.7036102717637,4010.1
"130","PR","2013",65150,16810,25.3261703760553,1650
"131","RO","2014",86004,8040,17.1766545742059,1477.261
"132","PA","2014",4377,65,15.6956819739548,68.7
"133","BA","2014",143939,13262.4,16.4740897185613,2371.264
"134","MT","2014",20115,1683,8.24260502112851,165.8
"135","GO","2014",6136.8,1571,38.5542953982532,236.6
"136","MG","2014",995079,206340,22.7560826828825,22644.1
"137","ES","2014",433242,41443,29.5578452689259,12805.7
"138","RJ","2014",12783,0,22.866306813737,292.3
"139","SP","2014",199686,12350,22.980078723596,4588.8
"140","PR","2014",33251,22248,16.7994947520375,558.6
"141","RO","2015Prev",86004,8040,17.5701130179992,1511.1
"142","PA","2015Prev",4377,65,15.6728352753027,68.6
"143","BA","2015Prev",147656.5,11770.4,15.9403751274072,2353.7
"144","MT","2015Prev",20115,1683,8.2475764354959,165.9
"145","GO","2015Prev",6136.8,1571,45.3656628861948,278.4
"146","MG","2015Prev",973581,234576,23.3252292310552,22709
"147","ES","2015Prev",435273,42057,26.2168799810694,11411.5
"148","RJ","2015Prev",12783,0,22.8741297035125,292.4
"149","SP","2015Prev",194306.7,12536,21.5453198474371,4186.4
"150","PR","2015Prev",42300,10600,23.6406619385343,1000
