"","regiao","Safra","AreaProducao","AreaFormacao","Produtividade","Producao"
"106","Zona da Mata, Rio Doce e Central","2007",354486,32180,16.7905079467172,5952
"107","Norte, Jequitinhonha e Mucuri","2007",0,0,0,0
"108","SUL","2007",97842,8200,17.7020093620327,1732
"109","OUTROS","2007",25484,1603,15.85,404
"110","NORTE/NORDESTE","2007",320210,13157.3,12.7728678055026,4090
"111","CENTRO-SUL","2007",1830960,177800,17.2461440992703,31577
"112","BRASIL","2007",1938059,192560.3,18.61,36071
"113","NORTE","2008",168889,9410,12.4874917845449,2109.04
"114","NORDESTE","2008",125033.4,5795.6,17.123479401438,2141.04
"115","Cerrado","2008",0,0,0,0
"116","Planalto","2008",0,0,0,0
"117","Atlântico","2008",0,0,0,0
"118","CENTRO-OESTE","2008",15007,5301,9.19570866928767,138
"119","SUDESTE","2008",1739821,161669,22.1269889258723,38497.41
"120","Sul e Centro-Oeste","2008",551471,66538,21.9739569261122,12118
"121","Triângulo, Alto Paranaiba e Noroeste","2008",158753,20420,28.5600902030198,4534
"122","Zona da Mata, Rio Doce e Central","2008",337948,35198,20.5031543314356,6929
"123","Norte, Jequitinhonha e Mucuri","2008",0,0,0,0
"124","SUL","2008",96920,8580,26.9087907552621,2608
"125","OUTROS","2008",24494,2131,20.35,498.57
"126","NORTE/NORDESTE","2008",293922.4,15205.6,14.4596185382516,4250.08
"127","CENTRO-SUL","2008",1851748,175550,22.2724690400638,41243.41
"128","BRASIL","2008",2170164.4,192886.6,21.19,45992.06
"129","NORTE","2009",166742,6302,10.6451883748546,1775
"130","NORDESTE","2009",126170,7754,14.8529761432987,1873.5
"131","Cerrado","2009",12088,3214,36.0688285903375,436
"132","Planalto","2009",91373,1652,9.80048810917886,895.5
"133","Atlântico","2009",22709,2888,23.867189220133,542
"134","CENTRO-OESTE","2009",15272,1438,9.23258250392876,141
"135","SUDESTE","2009",1676472,193555,20.1452812811666,33773.41
"136","Sul e Centro-Oeste","2009",506468,89141,19.2509694590774,9750
"137","Triângulo, Alto Paranaiba e Noroeste","2009",159042,23750,24.2640308849235,3859
"138","Zona da Mata, Rio Doce e Central","2009",335221,36162,18.7070619084127,6271
"139","Norte, Jequitinhonha e Mucuri","2009",0,0,0,0
"140","SUL","2009",85180,12240,17.2223526649448,1467
"141","OUTROS","2009",23073,1323,19.0699085511204,440
"142","NORTE/NORDESTE","2009",292912,14056,12.457666466379,3648.5
"143","CENTRO-SUL","2009",1776924,207233,19.9113749378139,35381.41
"144","BRASIL","2009",2092909,222612,18.8589183762887,39469.91
"145","NORTE","2010",168283,7105,15.44,2597.6
"146","NORDESTE","2010",139550,10464,16.4292368326765,2292.7
"147","Cerrado","2010",12273,3041,39.5583801841441,485.5
"148","Planalto","2010",103344,4246,12.0219848273727,1242.4
"149","Atlântico","2010",23933,3177,23.5992144737392,564.8
"150","CENTRO-OESTE","2010",15186,6307,13.3741604109048,203.1
"151","SUDESTE","2010",1649321,175600,24.3822154692749,40214.1
"152","Sul e Centro-Oeste","2010",509687,72202,24.7524461090826,12616
"153","Triângulo, Alto Paranaiba e Noroeste","2010",162217,19988,34.8422175234408,5652
"154","Zona da Mata, Rio Doce e Central","2010",334815,39309,20.5695682690441,6887
"155","Norte, Jequitinhonha e Mucuri","2010",0,0,0,0
"156","SUL","2010",82613,11376,27.65,2284
"157","OUTROS","2010",24477,1716,20.5621603954733,503.3
"158","NORTE/NORDESTE","2010",307833,17569,15.89,4890.3
"159","CENTRO-SUL","2010",1747120,193283,24.44,42701.2
"160","BRASIL","2010",2079430,212568,23.13,48094.8
"161","NORTE","2011",163839,6220,9.84075830540958,1612.3
"162","NORDESTE","2011",138833.5,9855,16.4945780377214,2290
"163","Cerrado","2011",11556.5,3690,37.121965993164,429
"164","Planalto","2011",102338,3019,10.9431491723504,1119.9
"165","Atlântico","2011",24939,3146,29.7165082802037,741.1
"166","CENTRO-OESTE","2011",19884,3150,6.93019513176423,137.8
"167","SUDESTE","2011",1635798,184425,22.6956506854758,37125.5
"168","Sul e Centro-Oeste","2011",505201,77692,20.6690010510668,10442
"169","Triângulo, Alto Paranaiba e Noroeste","2011",161105,23211,24.8347351106421,4001
"170","Zona da Mata, Rio Doce e Central","2011",334563,35532,23.1286783057302,7738
"171","Norte, Jequitinhonha e Mucuri","2011",0,0,0,0
"172","SUL","2011",74752,16658,24.6414811643836,1842
"173","OUTROS","2011",23300,1373,20.4549356223176,476.6
"174","NORTE/NORDESTE","2011",302672.5,16075,12.8928131891731,3902.3
"175","CENTRO-SUL","2011",1730434,204233,22.5983545311072,39105.3
"176","BRASIL","2011",2056406.5,221681,21.1455676766655,43484.2
"177","NORTE","2012",135852,5854,11.291699790949,1534
"178","NORDESTE","2012",138213,8329.7,15.5528061759748,2149.6
"179","Cerrado","2012",12918,2183,40.8499767765908,527.7
"180","Planalto","2012",100861,2265,8.01895678210607,808.8
"181","Atlântico","2012",24434,3881.7,33.2774003437832,813.1
"182","CENTRO-OESTE","2012",27348,3454,13.5841743454732,371.5
"183","SUDESTE","2012",1666915,244445,27.0348518070807,45064.8
"184","Sul e Centro-Oeste","2012",518082,102700,26.6212684478519,13792
"185","Triângulo, Alto Paranaiba e Noroeste","2012",168463,25650,36.9873503380564,6231
"186","Zona da Mata, Rio Doce e Central","2012",341880,43680,20.2439452439452,6921
"187","Norte, Jequitinhonha e Mucuri","2012",0,13525,0,0
"188","SUL","2012",67177,16873,23.5199547464162,1580
"189","OUTROS","2012",14169,663,8.92794128025972,126.5
"190","NORTE/NORDESTE","2012",274065,14183.7,13.4374692206954,3683.6
"191","CENTRO-SUL","2012",1761440,264772,26.6919679353256,47016.3
"192","BRASIL","2012",2049674,279618.7,24.7965349717866,50826.4
"193","NORTE","2013",109223,5560,13.5383573056957,1478.7
"194","NORDESTE","2013",134511.1,12494.4,13.4063285483503,1803.3
"195","Cerrado","2013",11858.5,3052,33.62988573597,398.8
"196","Planalto","2013",98473.7,4187.4,6.91656757083363,681.1
"197","Atlântico","2013",24178.9,5255,29.918648077456,723.4
"198","CENTRO-OESTE","2013",27272.6,2746,16.0234081092378,437
"199","SUDESTE","2013",1666568.5,256927.5,26.190402614714,43648.1
"200","Sul e Centro-Oeste","2013",521187,117969,25.6242001431348,13355
"201","Triângulo, Alto Paranaiba e Noroeste","2013",169415,29368,30.7705929227046,5213
"202","Zona da Mata, Rio Doce e Central","2013",309593,42416,26.8578423930774,8315
"203","Norte, Jequitinhonha e Mucuri","2013",37602,4228,20.6637944790171,777
"204","SUL","2013",65150,16810,25.3261703760553,1650
"205","OUTROS","2013",13700,636,9.81751824817518,134.5
"206","NORTE/NORDESTE","2013",243734.1,18054.4,13.4654937491307,3282
"207","CENTRO-SUL","2013",1758991.1,276483.5,26.0007569111634,45735.1
"208","BRASIL","2013",2016425.2,295173.9,24.375612841974,49151.6
"209","NORTE","2014",90381,8105,17.1049335590445,1545.961
"210","NORDESTE","2014",143939,13262.4,16.4740897185613,2371.264
"211","Cerrado","2014",11973,3820,36.3370917898605,435.064
"212","Planalto","2014",99366,4187.4,9.01918161141638,896.2
"213","Atlântico","2014",32600,5255,31.9018404907975,1040
"214","CENTRO-OESTE","2014",26251.8,3254,15.328472714252,402.4
"215","SUDESTE","2014",1640790,260133,24.5801717465367,40330.9
"216","Sul e Centro-Oeste","2014",501214,120480,21.5550643038702,10803.7
"217","Triângulo, Alto Paranaiba e Noroeste","2014",174369,26163,33.0649370014165,5765.5
"218","Zona da Mata, Rio Doce e Central","2014",284582,57776,18.6406729870477,5304.8
"219","Norte, Jequitinhonha e Mucuri","2014",34914,1921,22.0570544767142,770.1
"220","SUL","2014",33251,22248,16.7994947520375,558.6
"221","OUTROS","2014",12587,483,10.5267339318344,132.5
"222","NORTE/NORDESTE","2014",234320,21367.4,16.7174163537043,3917.225
"223","CENTRO-SUL","2014",1700292.8,285635,24.2851701777482,41291.9
"224","BRASIL","2014",1947199.8,307485.4,23.2855534393543,45341.625
"225","NORTE","2015Prev",90381,8105,17.4782310441354,1579.7
"226","NORDESTE","2015Prev",147656.5,11770.4,15.9403751274072,2353.7
"227","Cerrado","2015Prev",11214,3820,38.1041555198859,427.3
"228","Planalto","2015Prev",101215,4187.4,9.51538803537025,963.1
"229","Atlântico","2015Prev",35227.5,3763,27.345113902491,963.3
"230","CENTRO-OESTE","2015Prev",26251.8,3254,16.9245537448861,444.3
"231","SUDESTE","2015Prev",1615943.7,289169,23.8865376312306,38599.3
"232","Sul e Centro-Oeste","2015Prev",477111,149376,21.2906430579048,10158
"233","Triângulo, Alto Paranaiba e Noroeste","2015Prev",169343,34115,28.7522956366664,4869
"234","Zona da Mata, Rio Doce e Central","2015Prev",293158,48758,23.6561854017288,6935
"235","Norte, Jequitinhonha e Mucuri","2015Prev",33969,2327,21.9906385233595,747
"236","SUL","2015Prev",42300,10600,23.6406619385343,1000
"237","OUTROS","2015Prev",12587,483,10.5346786366886,132.6
"238","NORTE/NORDESTE","2015Prev",238037.5,19875.4,16.5242871396314,3933.4
"239","CENTRO-SUL","2015Prev",1684495.5,303023,23.7718652261167,40043.6
"240","BRASIL","2015Prev",1935120,323381.4,22.7942453181198,44109.6
