"","UF","Safra","Area","Produtividade","Producao"
"142","TO","2005.06","75.4","2227","167.9"
"143","MA","2005.06","362.7","1170","424.4"
"144","PI","2005.06","290.1","804","233.2"
"145","CE","2005.06","638.8","1159","740.4"
"146","RN","2005.06","84","625","52.5"
"147","PB","2005.06","187.6","900","168.8"
"148","PE","2005.06","283.4","780","221.1"
"149","AL","2005.06","83.7","630","52.7"
"150","SE","2005.06","142.7","1330","189.8"
"151","BA","2005.06","777.9","1491","1159.5"
"152","MT","2005.06","1046.8","3848","4028.3"
"153","MS","2005.06","623.4","3595","2241"
"154","GO","2005.06","662.8","4660","3088.8"
"155","DF","2005.06","39.5","5927","234.1"
"156","MG","2005.06","1371.7","3850","5280.8"
"157","ES","2005.06","39.8","2101","83.6"
"158","RJ","2005.06","11.1","2396","26.6"
"159","SP","2005.06","1049.4","4060","4260.9"
"160","PR","2005.06","2491.1","4485","11173"
"161","SC","2005.06","784.8","4050","3178.4"
"162","RS","2005.06","1436","3167","4547.8"
"163","RR","2006.07","12.2","2000","24.4"
"164","RO","2006.07","137.4","2201","302.4"
"165","AC","2006.07","37","1519","56.2"
"166","AM","2006.07","19.7","2249","44.3"
"167","AP","2006.07","2.1","857","1.8"
"168","PA","2006.07","270.2","1970","532.3"
"169","TO","2006.07","85.9","3278","281.6"
"170","MA","2006.07","367.1","1218","447.1"
"171","PI","2006.07","295.3","606","179"
"172","CE","2006.07","673.9","498","335.6"
"173","RN","2006.07","82.6","459","37.9"
"174","PB","2006.07","195.1","363","70.8"
"175","PE","2006.07","286.2","334","95.6"
"176","AL","2006.07","83.7","550","46"
"177","SE","2006.07","144.6","1366","197.5"
"178","BA","2006.07","833.1","2037","1696.7"
"179","MT","2006.07","1592.3","3683","5864.9"
"180","MS","2006.07","838.2","3521","2951.4"
"181","GO","2006.07","785","4952","3887.5"
"182","DF","2006.07","44.2","6566","290.2"
"183","MG","2006.07","1398.5","4474","6256.8"
"184","ES","2006.07","37.8","2399","90.7"
"185","RJ","2006.07","10.7","2196","23.5"
"186","SP","2006.07","957.6","4159","3982.2"
"187","PR","2006.07","2772.5","4996","13851.3"
"188","SC","2006.07","706.3","5470","3863.5"
"189","RS","2006.07","1385.7","4300","5958.5"
"190","RR","2007.08","6.4","2000","12.8"
"191","RO","2007.08","160.3","2394.84092326887","383.9"
"192","AC","2007.08","24.3","1729.46024","42"
"193","AM","2007.08","13.8","2554","35.2"
"194","AP","2007.08","3.2","745","2.4"
"195","PA","2007.08","268","2324","622.8"
"196","TO","2007.08","96.3","2842.2492211838","273.7"
"197","MA","2007.08","353.3","1388","490.4"
"198","PI","2007.08","290.9","1110","322.9"
"199","CE","2007.08","694.2","1084","752.5"
"200","RN","2007.08","79.5","677","53.8"
"201","PB","2007.08","193","666","128.5"
"202","PE","2007.08","304.2","610","185.6"
"203","AL","2007.08","72.6","611","44.4"
"204","SE","2007.08","162.7","2774","451.3"
"205","BA","2007.08","831.2","2365.94802694899","1966.6"
"206","MT","2007.08","1834.6","4255.33117845852","7806.8"
"207","MS","2007.08","988.3","3566.06546595163","3524.3"
"208","GO","2007.08","903.5","5568.44471499723","5031.1"
"209","DF","2007.08","48.3","6707.46376811594","324"
"210","MG","2007.08","1339.4","4949.33206659698","6629.1"
"211","ES","2007.08","37.4","2548","95.3"
"212","RJ","2007.08","8.1","2442","19.8"
"213","SP","2007.08","966","4837.8364389234","4673.4"
"214","PR","2007.08","2979.4","5158.17339061556","15368.3"
"215","SC","2007.08","715.8","5713","4089.4"
"216","RS","2007.08","1391","3826","5322"
"217","RR","2008.09","6.5","1969","12.8"
"218","RO","2008.09","145.6","2248.38049450549","327.4"
"219","AC","2008.09","24.5","1803","44.2"
"220","AM","2008.09","12.2","2460","30"
"221","AP","2008.09","3.5","860","3"
"222","PA","2008.09","245.2","2305","565.2"
"223","TO","2008.09","83.9","3157.67103694875","264.9"
"224","MA","2008.09","373.4","1350","504.1"
"225","PI","2008.09","329.6","1503","495.4"
"226","CE","2008.09","689.3","805","554.9"
"227","RN","2008.09","71.2","604","43"
"228","PB","2008.09","194","857","166.3"
"229","PE","2008.09","309.7","685","212.1"
"230","AL","2008.09","71.3","654","46.6"
"231","SE","2008.09","172.7","3560","614.8"
"232","BA","2008.09","818.8","2448.98033707865","2005.2"
"233","MT","2008.09","1640.6","4926.08954041204","8081.7"
"234","MS","2008.09","938.5","2463.40277037826","2311.9"
"235","GO","2008.09","910","5383.41054945055","4898.9"
"236","DF","2008.09","39","6965.29230769231","271.6"
"237","MG","2008.09","1290.4","5070.91862988221","6543.5"
"238","ES","2008.09","37.6","2576","96.9"
"239","RJ","2008.09","8.3","2455","20.4"
"240","SP","2008.09","917.4","4659.07891868324","4274.2"
"241","PR","2008.09","2783","3988.78347107438","11100.8"
"242","SC","2008.09","667.1","4894.6","3265.2"
"243","RS","2008.09","1388.5","3060","4248.8"
"244","RR","2009.10","6.5","1969","12.8"
