"","regiao","Safra","Area","Produtividade","Producao"
"96","BRASIL","2011.12","15178.1","4808","72979.5"
"97","NORTE","2012.13","528.3","3165.5953056975204","1672.3"
"98","NORDESTE","2012.13","2325.5","2089.8057192001716","4859.8"
"99","CENTRO-OESTE","2012.13","6202.9","5789.323348756227","35910.6"
"100","SUDESTE","2012.13","2203","5754.729414434862","12677.7"
"101","SUL","2012.13","4569.6","5774.105129551821","26385.3"
"102","NORTE/NORDESTE","2012.13","2853.8","2288.957600392459","6532.1"
"103","CENTRO-SUL","2012.13","12975.5","5778.090516743093","74973.6"
"104","BRASIL","2012.13","15829.3","5149.0489598402955","81505.7"
"105","NORTE","2013.14","551.5","3302.939437896646","1821.5"
"106","NORDESTE","2013.14","2899.7","2612.1650515570577","7574.5"
"107","CENTRO-OESTE","2013.14","6202.2","5651.839411821612","35053.8"
"108","SUDESTE","2013.14","2106.5","5092.921243769285","10728.4"
"109","SUL","2013.14","4069.3","6112.529304794436","24873.8"
"110","NORTE/NORDESTE","2013.14","3451.2","2722.550446221604","9396"
"111","CENTRO-SUL","2013.14","12378","5708.175189852965","70656"
"112","BRASIL","2013.14","15829.2","5057.227061380233","80052"
"113","NORTE","2014.15Prev","545","3379.567706422018","1841.9"
"114","NORDESTE","2014.15Prev","2727.8","2650.092125522399","7228.9"
"115","CENTRO-OESTE","2014.15Prev","6109.2","5800.023767432724","35433.4"
"116","SUDESTE","2014.15Prev","2021.7","5309.297076717614","10733.8"
"117","SUL","2014.15Prev","3762.2","6312.0462495348465","23747.2"
"118","NORTE/NORDESTE","2014.15Prev","3272.8","2771.5673735028113","9070.8"
"119","CENTRO-SUL","2014.15Prev","11893.1","5878.575938989835","69914.4"
"120","BRASIL","2014.15Prev","15165.9","5208.083740496772","78985.2"
