"","regiao","Safra","Area","Produtividade","Produção","Açucar","Etanol Total","Etanol Anidro","Etanol Hidratado"
"69","SUL","2013.14",587.82,71968,42304.2,3036.81,1496376,473649,1022727
"70","NORTE/NORDESTE","2013.14",1076.59,52678,56712.81,3460.98432416484,1959324.5129622,1216647.73734463,742676.775617572
"71","CENTRO-SUL","2013.14",7734.84,77844,602109.458,34417.279,25997387,10607780,15389607
"72","BRASIL","2013.14",8811.43,74769,658822.268,37878.2633241648,27956711.5129622,11824427.7373446,16132283.7756176
"73","NORTE","2014.15",47.59,78117,3717.6,48.5355555083373,232445.034781512,142303.159458388,90141.8753231242
"74","NORDESTE","2014.15",978.99,56857,55662.8,3513.96481596512,1906908.35857989,1181293.31435486,725615.044225028
"75","CENTRO-OESTE","2014.15",1748.45,72242,126311.1,3755.44329544477,7755160.9558576,2230946.72157711,5524214.23428049
"76","SUDESTE","2014.15",5593.12,72571,405896.5,25318.9109835651,17144826.8558527,7644406.9872912,9500419.86856153
"77","SUL","2014.15",636.33,67856,43179,2923.32504674289,1620582.45842786,529092.1261516,1091490.33227626
"78","NORTE/NORDESTE","2014.15",1026.58,57843,59380.4,3562.50037147346,2139353.3933614,1323596.47381325,815756.919548152
"79","CENTRO-SUL","2014.15",7977.9,72123,575386.6,31997.6793257528,26520570.2701382,10404445.8350199,16116124.4351183
"80","BRASIL","2014.15",9004.48,70495,634767,35560.1796972262,28659923.6634996,11728042.3088332,16931881.3546664
"81","NORTE","2015.16Prev",51.19,73733,3774.4,52.9961163193902,232671.652027627,140254.293339754,92417.3586878732
"82","NORDESTE","2015.16Prev",1003.21,57976,58161.9,3580.55116503963,2077467.86147968,1315210.7412189,762257.120260776
"83","CENTRO-OESTE","2015.16Prev",1801.48,72895,131318.2,3907.45118287106,8056153.43831646,2312659.95508121,5743493.48323525
"84","SUDESTE","2015.16Prev",5593.2,74314,415652,26718.3201318411,17120534.1912667,8336019.89851114,8784514.29275559
"85","SUL","2015.16Prev",621.3,73567,45706.9,3094.70729697544,1712308.21063923,630518.467349875,1081789.74328936
"86","NORTE/NORDESTE","2015.16Prev",1054.4,58741,61936.3,3633.54728135902,2310139.51350731,1455465.03455866,854674.478948649
"87","CENTRO-SUL","2015.16Prev",8015.98,73937,592677.1,33720.4786116876,26888995.8402224,11279198.3209422,15609797.5192802
"88","BRASIL","2015.16Prev",9070.38,72170,654613.4,37354.0258930467,29199135.3537297,12734663.3555009,16464471.9982288
