"","UF","Estacao","Year","EvapoBHReal","InsolacaoTotal","PrecipitacaoTotal","PressaoMedia","TempMaximaMedia","TempMinimaMedia"
"69","MA",82765,2000,NA,202.083333333333,165.466666666667,989.067761333333,32.28304375,21.8518955
"70","MA",82768,2000,NA,218.490909090909,118.791666666667,979.945221833333,32.043566,21.8948919166667
"71","CE",82777,2000,NA,220.933333333333,47.1666666666667,944.2514102,30.1707172222222,19.7147547777778
"72","PI",82780,2000,NA,241.411111111111,86.3111111111111,985.613957333333,33.0811873333333,21.6896405555556
"73","CE",82784,2000,NA,228.977777777778,92.5888888888889,965.0215608,31.2195367777778,21.2044838888889
"74","PE",82789,2000,NA,211.872727272727,134.133333333333,900.9427188,26.4776461818182,17.6422433636364
"75","PB",82791,2000,NA,250.233333333333,75.2777777777778,981.032417666667,33.1260326666667,22.1359705555556
"76","PB",82792,2000,NA,227.416666666667,84.1583333333333,944.017110083333,30.3925689166667,18.92479175
"77","PB",82795,2000,NA,188.055555555556,144.088888888889,949.5283612,27.5950628888889,20.1960038888889
"78","PE",82797,2000,NA,212.2,79.5583333333333,966.7115255,28.886872,19.6259948181818
"79","PB",82798,2000,NA,225.058333333333,203.325,1012.13871,29.6406796666667,23.7882238333333
"80","AC",82807,2000,NA,141.39,164.241666666667,NA,31.8822014166667,21.6064088
"81","PA",82861,2000,NA,183.266666666667,197.508333333333,991.20356875,33.1917918333333,22.3901386666667
"82","TO",82863,2000,NA,216.225,127.733333333333,989.401012083333,33.0288625833333,21.3873921666667
"83","PI",82870,2000,NA,240.466666666667,81.0555555555556,NA,33.2875301111111,20.2338985555556
"84","PI",82879,2000,NA,247.488888888889,64.9222222222222,983.7032256,32.927541,21.9975081111111
"85","PI",82882,2000,NA,249.008333333333,53.7833333333333,968.127596083333,32.5721524166667,22.2686069166667
"86","PE",82886,2000,NA,239.118181818182,55.0454545454545,972.328159,32.169346,22.0327886363636
"87","PE",82890,2000,NA,232.375,70.85,936.674097666667,28.9867915833333,18.3794963333333
"88","PE",82893,2000,NA,178.575,88.1333333333333,920.9583916,26.15308825,17.90915525
"89","PE",82900,2000,NA,196.233333333333,279.916666666667,1012.59247333333,29.026677,22.3704100833333
"90","AC",82915,2000,NA,141.15,141.958333333333,994.91716475,30.9942665,21.2620335454545
"91","MA",82970,2000,NA,223.536363636364,109.525,977.824622,32.97709525,20.511913
"92","PI",82975,2000,NA,226.983333333333,82.0083333333333,973.170928833333,32.5210531666667,18.3198660833333
"93","PI",82976,2000,NA,238.208333333333,57.2666666666667,952.983978666667,31.1622179166667,19.7971424166667
"94","BA",82979,2000,NA,247.908333333333,85.725,967.980636416667,31.744771,22.0074806666667
"95","PE",82983,2000,NA,243.533333333333,53.1083333333333,971.176106416667,31.56668975,22.149208
"96","BA",82986,2000,NA,216.633333333333,50.2583333333333,983.196813833333,31.6367904166667,21.8010605
"97","AL",82989,2000,NA,210.408333333333,103.583333333333,945.048655583333,28.0744655,19.8270605833333
"98","AL",82990,2000,NA,205.855555555556,61.2,1008.53,32.8343295555556,22.5164355555556
"99","AL",82992,2000,NA,204.45,90.575,981.857278333333,29.91186375,20.0173811666667
"100","AL",82994,2000,NA,196.363636363636,232.490909090909,1006.35,29.1993480833333,20.22034375
"101","AL",82996,2000,NA,227.072727272727,203.291666666667,1009.63166666667,28.9232333636364,23.0090037272727
"102","MG",83032,2000,NA,162.575,156.75,NA,27.9673941666667,12.19736425
"103","TO",83033,2000,NA,217.041666666667,183.833333333333,NA,32.7063036666667,21.5327690833333
"104","MG",83037,2000,NA,186.3,118.408333333333,NA,28.0336964166667,15.8565398333333
"105","RJ",83049,2000,NA,189.766666666667,85.2166666666667,NA,27.3974635,15.0961985
"106","TO",83064,2000,NA,205.15,161.291666666667,983.724833,34.2511322222222,21.667465
"107","SP",83075,2000,NA,141.875,139.2,932.066445666667,26.44453375,15.53207025
"108","BA",83076,2000,NA,249.016666666667,114.075,960.934389,31.8857241666667,18.1720094166667
"109","BA",83088,2000,NA,180.891666666667,82.0833333333333,951.682409416667,28.9498238333333,20.0146125833333
"110","BA",83090,2000,NA,191.366666666667,63.025,960.605161333333,29.8046109166667,19.8941281666667
"111","SE",83096,2000,NA,229.25,130.158333333333,1011.3,28.8221833333333,21.58443375
"112","SE",83097,2000,NA,181.125,111.758333333333,1011.41543,31.0120489166667,21.8842651666667
"113","BA",83179,2000,NA,263.325,74.625,965.709858916667,32.7011620833333,20.0912536666667
"114","BA",83182,2000,NA,238.7,81.6916666666667,929.787356583333,29.33990525,17.9455785833333
"115","BA",83184,2000,NA,188.758333333333,78.3166666666667,903.478247416667,25.5224801666667,16.9422706666667
"116","BA",83186,2000,NA,200.625,82.0083333333333,956.912588,29.1689148333333,19.6328086666667
"117","BA",83190,2000,NA,181.483333333333,84.775,972.67928125,29.323515,20.4150159166667
"118","BA",83192,2000,NA,201.258333333333,66.6333333333333,996.209931545455,31.3227291666667,21.1694736666667
"119","SE",83195,2000,NA,193.4,104.441666666667,989.7381405,29.2256516666667,21.0221203333333
"120","MT",83214,2000,NA,206.672727272727,163.85,965.595614777778,32.4563389166667,18.6059740833333
"121","BA",83221,2000,NA,NA,71.975,987.658255833333,29.10597675,20.4503751666667
"122","BA",83222,2000,NA,198.558333333333,108.191666666667,990.600919333333,28.6310161666667,20.5266230833333
"123","TO",83228,2000,NA,218.9,170.683333333333,983.820071,33.12548825,21.2906686666667
"124","BA",83229,2000,NA,196.908333333333,159.016666666667,NA,28.8082255833333,23.1602923333333
"125","TO",83235,2000,NA,217.958333333333,125.225,943.888734583333,32.1722675833333,20.7510423333333
"126","BA",83236,2000,NA,237.014285714286,98.7916666666667,961.772673916667,32.0267500833333,19.1804439166667
"127","BA",83242,2000,NA,168.033333333333,105.058333333333,964.121939916667,29.2677218333333,19.9698333333333
"128","BA",83244,2000,NA,189.866666666667,67.6083333333333,983.868680083333,30.8341619166667,19.9400060833333
"129","BA",83249,2000,NA,192.25,119.216666666667,997.315522428571,29.6665631666667,19.6679224166667
"130","MT",83264,2000,NA,183.608333333333,158.058333333333,969.027036428571,33.4406458333333,19.9624509166667
"131","MT",83267,2000,NA,187.85,142.316666666667,966.889164,32.4845144444444,18.5840168888889
"132","MT",83270,2000,NA,223.388888888889,160.208333333333,NA,31.7087326666667,19.79607975
"133","BA",83286,2000,NA,242.945454545455,77.5181818181818,945.784983636364,31.0343596363636,17.7529618181818
"134","BA",83288,2000,NA,243.483333333333,91.8,961.519616166667,32.3760984166667,20.0651255
"135","BA",83292,2000,NA,203.166666666667,65.375,953.21252425,29.7766956666667,19.308804
"136","BA",83295,2000,NA,159.625,79.75,927.350036666667,25.97156375,16.9758295833333
"137","MT",83309,2000,NA,NA,144.658333333333,979.632279583333,32.5199826,20.5881462
"138","MT",83319,2000,NA,209.741666666667,113.733333333333,972.149657666667,32.3759944166667,18.6197644166667
"139","GO",83332,2000,NA,218.691666666667,136.333333333333,920.180567333333,29.7595473333333,19.9208500833333
"140","MG",83334,2000,NA,210.809090909091,115.309090909091,NA,30.498254,17.8889640909091
"141","MG",83338,2000,NA,244.309090909091,74.475,948.915741818182,30.6681124444444,19.528852
"142","BA",83339,2000,NA,218.083333333333,63.075,915.798079916667,27.40684625,17.613317
"143","BA",83344,2000,NA,182.733333333333,83.8666666666667,914.617059166667,25.6589645,16.5858686666667
"144","MT",83358,2000,NA,204.611111111111,123.054545454545,970.779576272727,31.5579489090909,18.7385218181818
"145","MT",83361,2000,NA,200.858333333333,104.083333333333,993.466724083333,32.9481084166667,21.7872243333333
"146","MT",83364,2000,NA,192.358333333333,56.2083333333333,994.421541416667,32.9837945,21.14212775
"147","GO",83368,2000,NA,187.583333333333,111.4,974.422579833333,33.4072215454545,20.1160090833333
"148","DF",83373,2000,NA,208.566666666667,141.333333333333,893.035793916667,27.4011978333333,14.5637894166667
"149","GO",83374,2000,NA,196.65,155.75,953.853205166667,31.6706060833333,20.050572
"150","GO",83376,2000,NA,204.591666666667,144.875,926.94137025,30.6950139166667,17.5601708333333
"151","DF",83377,2000,NA,205.766666666667,114.775,886.193679583333,26.6330239166667,16.7136040833333
"152","GO",83379,2000,NA,211.225,118.766666666667,909.525308083333,28.2252149166667,17.2409829166667
"153","MG",83384,2000,NA,217.745454545455,98.7181818181818,955.210843,31.9743647272727,19.3402821818182
"154","MG",83386,2000,NA,245.575,101.491666666667,959.146793,31.3109646666667,18.1453036666667
"155","MG",83388,2000,NA,233.536363636364,80.5916666666667,943.282277333333,30.3581759166667,20.4217425
"156","MG",83389,2000,NA,246.090909090909,77.275,962.186324833333,31.70049275,18.6194685
"157","MG",83393,2000,NA,198.066666666667,86.2083333333333,942.268896166667,28.3106949166667,18.1974165833333
"158","MG",83395,2000,NA,252.163636363636,80.6545454545455,NA,31.0889769090909,18.9916446363636
"159","BA",83398,2000,NA,186.666666666667,148.858333333333,1012.15618,28.2296480833333,20.4496093333333
"160","MT",83405,2000,NA,158.841666666667,94.2416666666667,995.78880825,32.1265343333333,20.2317780833333
"161","BA",83408,2000,NA,259.408333333333,62.1333333333333,960.5430795,31.9285725,19.2018130833333
"162","MT",83410,2000,NA,0,26.7545454545455,951.5586554,32.9730014,18.9581378
"163","GO",83423,2000,NA,NA,152.791666666667,928.155385583333,30.9276476666667,18.29235225
"164","MG",83428,2000,NA,204.65,116.025,NA,31.3396880833333,18.284683
"165","MG",83437,2000,NA,229.633333333333,94.7,941.13092125,29.49592975,17.55785875
"166","MG",83441,2000,NA,187.45,76.2083333333333,961.564155166667,30.2111405833333,18.0935024166667
"167","MG",83442,2000,NA,206.016666666667,90.1416666666667,978.2433445,31.6890354166667,19.7004514166667
"168","BA",83446,2000,NA,180.841666666667,111.216666666667,992.28771375,28.8844623333333,19.88860375
"169","MG",83452,2000,NA,224.636363636364,94.5181818181818,NA,28.007051875,16.0338497272727
"170","GO",83464,2000,NA,171.971428571429,143.166666666667,939.11072425,30.5248228333333,16.85335475
"171","GO",83470,2000,NA,173.958333333333,185.816666666667,NA,29.7058955,17.6220213333333
"172","MG",83479,2000,NA,227.841666666667,118.275,934.711877333333,30.229166,18.5869336666667
"173","MG",83481,2000,NA,248.354545454545,131.318181818182,929.9384684,29.1460956363636,18.4809246363636
"174","MG",83483,2000,NA,227.108333333333,90.7916666666667,954.815773333333,31.2130470833333,18.5376676666667
"175","MG",83485,2000,NA,NA,102.625,NA,28.0654059166667,15.4956749166667
"176","MG",83488,2000,NA,177.13,108.89,913.4001419,25.4022582,14.8717742
"177","BA",83498,2000,NA,197.65,152.908333333333,1018.6,28.35919825,21.25331225
"178","MS",83513,2000,NA,213.009090909091,118.991666666667,NA,31.7017978333333,20.0701996
"179","MG",83514,2000,NA,229.875,130.666666666667,944.379444166667,30.3904040833333,18.68872375
"180","MG",83521,2000,NA,202.883333333333,124.15,NA,31.1192391666667,16.8343185833333
"181","GO",83522,2000,NA,219.775,136.875,927.497500666667,29.5486376666667,17.4926766666667
"182","GO",83523,2000,NA,217.35,124.75,NA,30.3322238,18.5198895
"183","GO",83526,2000,NA,218.016666666667,130.141666666667,918.920518333333,28.5634981666667,17.8628915833333
"184","MG",83531,2000,NA,207.654545454545,134.309090909091,908.253585,28.145489,16.3794367272727
"185","MG",83533,2000,NA,201.75,109.408333333333,NA,30.1502901666667,13.7359199166667
"186","MG",83536,2000,NA,NA,88.8333333333333,NA,31.041126,16.48470225
"187","MG",83538,2000,NA,193.963636363636,136.791666666667,872.744418090909,23.9692133636364,14.6855892727273
"188","ES",83550,2000,NA,172.508333333333,171.933333333333,1012.61681,29.27801425,20.1354070833333
"189","MS",83552,2000,NA,211.558333333333,102.15,994.2869265,31.4156,21.0203321666667
"190","MS",83565,2000,NA,216.141666666667,129.875,964.799151083333,30.8437565833333,17.9773970833333
"191","MG",83570,2000,NA,213.363636363636,127.963636363636,935.905081272727,29.390614,17.1236656363636
"192","MG",83574,2000,NA,214.108333333333,138.741666666667,952.301081666667,30.6504541666667,19.2192725
"193","MG",83577,2000,NA,226.566666666667,173.458333333333,928.113048083333,29.4537134166667,16.8548149166667
"194","MG",83579,2000,NA,219.916666666667,152.145454545455,900.578345727273,27.7528307272727,16.9746089090909
"195","MG",83581,2000,NA,196.266666666667,112.1,NA,28.9765375,14.2885183333333
"196","MG",83582,2000,NA,178.990909090909,111.025,937.445454,28.9873050833333,14.3241725833333
"197","MG",83586,2000,NA,221.908333333333,118.141666666667,929.316343166667,28.2285233333333,16.36037975
"198","MG",83587,2000,NA,208.883333333333,131.366666666667,913.936482583333,26.6697979166667,17.7955415
"199","MG",83589,2000,NA,168.554545454545,116.427272727273,940.267962636364,28.1507544545455,15.8583857272727
"200","MG",83592,2000,NA,199.472727272727,95.3545454545455,946.051886636364,28.136792,16.4648898181818
"201","MG",83595,2000,NA,206.858333333333,70.05,NA,31.8373586666667,16.425
"202","SP",83623,2000,NA,154.8,141.016666666667,953.07908225,30.31661025,18.9032039166667
"203","SP",83630,2000,NA,211.783333333333,141.833333333333,903.51469275,26.4893681666667,17.06173925
"204","MG",83631,2000,NA,230.818181818182,152.8,NA,28.0606644166667,15.1622690833333
"205","MG",83635,2000,NA,204.763636363636,95.8636363636364,927.861107727273,28.3696574545455,15.0286170909091
"206","MG",83639,2000,NA,191,117.633333333333,920.506350083333,27.1496908333333,15.1499700833333
"207","MG",83642,2000,NA,178.345454545455,103.472727272727,936.025750727273,26.7855357272727,15.6426534545455
"208","ES",83648,2000,NA,182.525,130.183333333333,1007.24086,28.3973378333333,21.3194910833333
"209","SP",83669,2000,NA,196.225,123.983333333333,943.895997333333,29.5936484166667,16.88121275
"210","SP",83676,2000,NA,NA,125.075,951.292886916667,30.0130515,18.5455846666667
"211","MG",83681,2000,NA,157.208333333333,149.625,NA,25.2943048333333,16.26074
"212","MG",83683,2000,NA,166.6,135.808333333333,916.88934025,27.42432575,14.4256134166667
"213","MG",83687,2000,NA,210.491666666667,122.475,913.124974,27.0034865,15.1384594166667
"214","MG",83689,2000,NA,150.683333333333,107.433333333333,891.709183583333,25.1720035833333,14.06501
"215","MG",83692,2000,NA,155.081818181818,109.127272727273,912.528424181818,24.7728044545455,14.6063389
"216","RJ",83695,2000,NA,197.5,85.9666666666667,1000.12274533333,29.8313316666667,19.3191503333333
"217","RJ",83698,2000,NA,182.3,57.4083333333333,NA,29.3931701666667,20.80695075
"218","MS",83702,2000,NA,208.991666666667,146.275,938.563682583333,27.4413934166667,16.1468313333333
"219","MS",83704,2000,NA,211.1,126.091666666667,964.7726305,29.4597315,18.225298
"220","SP",83714,2000,NA,124.3,92.1181818181818,NA,20.3260770909091,NA
"221","SP",83716,2000,NA,222.858333333333,108.458333333333,963.052804166667,29.2658314166667,18.6014893333333
"222","RJ",83718,2000,NA,176.691666666667,96.0166666666667,958.200415090909,27.105796,16.2178831666667
"223","SP",83726,2000,NA,202.01,145.158333333333,917.802313,26.7254796,15.8028298333333
"224","MG",83736,2000,NA,202.875,135.55,912.040489583333,26.6622238333333,13.05806675
"225","RJ",83738,2000,NA,162.275,150.166666666667,964.20691975,27.2486466666667,16.5867098333333
"226","PR",83766,2000,NA,207.933333333333,117.183333333333,949.72092975,27.8911986666667,16.1784785
"227","PR",83767,2000,NA,213.790909090909,144.390909090909,952.276148818182,27.8784733636364,17.9260532727273
"228","SP",83773,2000,NA,NA,111.241666666667,913.743650583333,26.8840714166667,15.233236
"229","SP",83781,2000,NA,163.827272727273,121.708333333333,925.601757583333,25.6664804166667,16.0418428333333
"230","PR",83783,2000,NA,212.31,152.275,945.819126833333,26.6983251666667,14.9915089166667
"231","SP",83784,2000,NA,172.408333333333,130.808333333333,949.107633833333,28.0142375833333,15.4805105833333
"232","PR",83813,2000,NA,141.258333333333,126.066666666667,904.875017416667,24.1176819166667,11.97987975
"233","PR",83836,2000,NA,148.575,140.8,916.10359875,23.5500849166667,12.3284581666667
"234","PR",83842,2000,NA,165.491666666667,125.475,912.95166625,23.5512405833333,13.2852855
"235","PR",83844,2000,NA,115.166666666667,157.625,1011.4,25.92668,18.04425575
"236","SC",83872,2000,NA,142.6,129.041666666667,1008.82,27.35636475,16.13947975
"237","RS",83881,2000,NA,204.841666666667,176.808333333333,984.171556416667,27.3588493333333,14.7819613333333
"238","SC",83883,2000,NA,205.666666666667,185.191666666667,936.820632833333,25.04594175,14.5678345833333
"239","SC",83887,2000,NA,191.181818181818,198.645454545455,909.722978181818,22.8163320909091,12.3405941818182
"240","SC",83891,2000,NA,186.241666666667,155.533333333333,910.343132666667,21.8611883333333,11.83952475
"241","RS",83907,2000,NA,174.65,185.841666666667,983.493929,26.701224,15.0861205833333
"242","RS",83912,2000,NA,204.275,144.241666666667,959.62768075,24.3796164166667,13.4967384166667
"243","RS",83914,2000,NA,206.518181818182,168.690909090909,937.139676454545,23.7057756363636,13.4105561818182
"244","RS",83916,2000,NA,184.933333333333,136.15,920.59753625,22.73031375,11.971612
"245","RS",83919,2000,NA,173.436363636364,145.358333333333,897.9759877,20.9914758333333,10.1229130833333
"246","SC",83920,2000,NA,166.45,154.608333333333,862.378377083333,18.4405045,9.366886
"247","RS",83927,2000,NA,187.290909090909,160.190909090909,NA,25.124393,13.2367721
"248","RS",83936,2000,NA,183.275,170.716666666667,1000.69785316667,24.9889229166667,14.2457045
"249","RS",83941,2000,NA,191.558333333333,154.108333333333,NA,22.4583065,13.1771435
"250","RS",83942,2000,NA,185.433333333333,151.3,929.7490645,21.8249468333333,12.8893388333333
"251","RS",83948,2000,NA,NA,149.033333333333,1012.43957,22.9802178333333,15.7690645833333
"252","RS",83953,2000,NA,188.916666666667,134.7,976.819715666667,23.0649586666667,13.4857168333333
"253","RS",83964,2000,NA,160.841666666667,145.783333333333,965.5476005,22.9683948333333,13.198599
"254","RS",83967,2000,NA,182.058333333333,131.025,NA,24.9236435,15.220679
"255","RS",83980,2000,NA,187.733333333333,142.6,986.59798775,22.97561125,12.9583729166667
"256","RS",83985,2000,NA,193.175,124.275,NA,22.6040286666667,14.0048361666667
"257","RS",83995,2000,NA,191.925,110.4,1011.31828,22.17589675,14.34819575
"258","RS",83997,2000,NA,192.75,104.233333333333,1012.255215,21.7809825833333,12.5458423333333
"259","RR",82024,2001,NA,176.608333333333,110.441666666667,999.17,33.1440588888889,23.7216231666667
"260","RR",82042,2001,NA,204.083333333333,137.166666666667,NA,33.5917005,22.3460175833333
"261","AM",82067,2001,NA,122.175,283.458333333333,998.261957875,32.8188345833333,21.5759544166667
"262","AP",82098,2001,NA,211.216666666667,176.15,1008.549355,31.7007079166667,23.9652253333333
"263","AM",82106,2001,NA,149.95,217.841666666667,998.828062833333,33.1512719166667,21.9085945
"264","AM",82113,2001,NA,164.058333333333,179.45,NA,33.2919955833333,22.8124719166667
"265","PA",82141,2001,NA,226.581818181818,202.575,NA,30.6321449166667,25.2002240833333
"266","PA",82145,2001,NA,196.483333333333,206.783333333333,1008.451075,31.7357141666667,21.8563223333333
"267","PA",82178,2001,NA,200.045454545455,156.766666666667,NA,31.5810680833333,23.58673375
"268","PA",82181,2001,NA,215.95,131.5,998.15601875,31.378588,23.6227963333333
"269","PA",82184,2001,NA,184.572727272727,173.208333333333,NA,32.04296125,23.7720729166667
"270","PA",82188,2001,NA,180.058333333333,202.683333333333,NA,31.93000125,22.6350000833333
"271","PA",82191,2001,NA,195.663636363636,275.35,NA,32.2113543333333,22.6588114166667
"272","MA",82198,2001,NA,195.233333333333,194.216666666667,1006.27957,31.31860275,23.7863344166667
"273","AM",82212,2001,NA,139.763636363636,213.983333333333,1004.22043,32.0006910833333,22.7480890833333
"274","AM",82240,2001,NA,177.733333333333,240.808333333333,1011.02043,32.2098481666667,24.4161673333333
"275","PA",82246,2001,NA,196.391666666667,145.783333333333,992.758660666667,30.890329,22.3527329166667
"276","PA",82263,2001,NA,213.363636363636,199.441666666667,1009.5,33.1477226666667,23.8015065833333
"277","MA",82280,2001,NA,187.4,206.633333333333,1004.921905,30.9781567272727,23.40324375
"278","PI",82287,2001,NA,213.5,65.54,NA,33.07222,23.89033775
"279","CE",82294,2001,NA,218.9,29.1,NA,33.00894,23.92697025
"280","PI",82296,2001,NA,226.208333333333,119.508333333333,NA,34.7323550833333,23.0782518333333
"281","PI",82298,2001,NA,223.166666666667,129.416666666667,NA,33.1435483333333,21.8679213333333
"282","AM",82317,2001,NA,166.090909090909,218.95,NA,32.7917140833333,22.3353303333333
"283","AM",82326,2001,NA,143.35,243.425,NA,32.8358620833333,22.4097235
"284","AM",82331,2001,NA,162.066666666667,149.866666666667,1001.312154,31.9407193333333,23.3494348333333
"285","AM",82336,2001,NA,146.683333333333,187.066666666667,NA,32.7025704166667,23.1029786666667
"286","PA",82353,2001,NA,172.509090909091,174.3,997.94195325,32.857541,22.90559
"287","PA",82361,2001,NA,172.675,259.75,1007.93919,33.9879103333333,22.9172030833333
"288","MA",82376,2001,NA,197.891666666667,156.9,1007.26129,32.9339925833333,22.6965775833333
"289","MA",82382,2001,NA,237.016666666667,145.741666666667,998.639618545455,32.8878488333333,22.8919605833333
"290","CE",82392,2001,NA,201.2,95.4333333333333,999.3313555,34.1282928,22.7584822
"291","CE",82397,2001,NA,196.1,164.96,NA,30.7579051666667,23.87415825
"292","AM",82410,2001,NA,145.241666666667,254.216666666667,NA,32.7077649166667,22.4287935
